date,method,model_fitted,count,rank_correlation,top4_logreturn,universe_logreturn
2023-02-06,learner,False,25,0.46076923076923076,0.54511484495799389,0.19288207553423439
2023-02-06,price_prior,False,25,0.46076923076923076,0.54511484495799389,0.19288207553423439
2023-02-07,learner,False,25,0.36615384615384611,0.52706489763970821,0.18905330059028555
2023-02-07,price_prior,False,25,0.36615384615384611,0.52706489763970821,0.18905330059028555
2023-02-08,learner,False,25,0.54230769230769238,0.55984428034886913,0.18754689710190603
2023-02-08,price_prior,False,25,0.54230769230769238,0.55984428034886913,0.18754689710190603
2023-02-09,learner,False,25,0.50153846153846149,0.41933353755676672,0.096025918541563338
2023-02-09,price_prior,False,25,0.50153846153846149,0.41933353755676672,0.096025918541563338
2023-02-10,learner,False,25,0.51230769230769235,0.28737461991084839,0.10018582846391903
2023-02-10,price_prior,False,25,0.51230769230769235,0.28737461991084839,0.10018582846391903
2023-02-13,learner,False,25,0.52923076923076917,0.23886583510798609,0.064717098582762742
2023-02-13,price_prior,False,25,0.52923076923076917,0.23886583510798609,0.064717098582762742
2023-02-14,learner,False,25,0.47615384615384609,0.34526778823771076,0.089105489616675873
2023-02-14,price_prior,False,25,0.47615384615384609,0.34526778823771076,0.089105489616675873
2023-02-15,learner,False,25,0.37384615384615388,0.30693489937831719,0.072192976424192909
2023-02-15,price_prior,False,25,0.37384615384615388,0.30693489937831719,0.072192976424192909
2023-02-16,learner,False,25,0.3923076923076923,0.39611087888466257,0.12351234229441055
2023-02-16,price_prior,False,25,0.3923076923076923,0.39611087888466257,0.12351234229441055
2023-02-17,learner,False,25,0.30538461538461537,0.37467939850910803,0.18950136757393032
2023-02-17,price_prior,False,25,0.30538461538461537,0.37467939850910803,0.18950136757393032
2023-02-20,learner,False,25,0.27923076923076923,0.43815742603444552,0.18078557734470363
2023-02-20,price_prior,False,25,0.27923076923076923,0.43815742603444552,0.18078557734470363
2023-02-21,learner,False,25,0.32461538461538458,0.33467833659521234,0.18430794815673202
2023-02-21,price_prior,False,25,0.32461538461538458,0.33467833659521234,0.18430794815673202
2023-02-22,learner,False,25,0.39999999999999997,0.36744444782235997,0.15889600076120444
2023-02-22,price_prior,False,25,0.39999999999999997,0.36744444782235997,0.15889600076120444
2023-02-23,learner,False,25,0.35076923076923078,0.38523073842770061,0.17568340486518152
2023-02-23,price_prior,False,25,0.35076923076923078,0.38523073842770061,0.17568340486518152
2023-02-24,learner,False,25,0.30384615384615382,0.41928840293967623,0.20270944214509598
2023-02-24,price_prior,False,25,0.30384615384615382,0.41928840293967623,0.20270944214509598
2023-02-27,learner,False,25,0.28076923076923077,0.49129132554189003,0.22957510016980445
2023-02-27,price_prior,False,25,0.28076923076923077,0.49129132554189003,0.22957510016980445
2023-02-28,learner,False,25,0.34076923076923077,0.4988474499750073,0.23949978040947442
2023-02-28,price_prior,False,25,0.34076923076923077,0.4988474499750073,0.23949978040947442
2023-03-01,learner,False,25,0.36230769230769228,0.50524655426714449,0.23959825534988219
2023-03-01,price_prior,False,25,0.36230769230769228,0.50524655426714449,0.23959825534988219
2023-03-02,learner,False,25,0.42230769230769233,0.58304361845962682,0.21929235206613218
2023-03-02,price_prior,False,25,0.42230769230769233,0.58304361845962682,0.21929235206613218
2023-03-03,learner,False,25,0.61538461538461531,0.46070536246782118,0.19604941036644147
2023-03-03,price_prior,False,25,0.61538461538461531,0.46070536246782118,0.19604941036644147
2023-03-06,learner,False,25,0.59769230769230774,0.36280975161284917,0.16808940603262118
2023-03-06,price_prior,False,25,0.59769230769230774,0.36280975161284917,0.16808940603262118
2023-03-07,learner,False,25,0.55153846153846153,0.42314664401238528,0.21252733869357476
2023-03-07,price_prior,False,25,0.55153846153846153,0.42314664401238528,0.21252733869357476
2023-03-08,learner,False,25,0.57307692307692304,0.38137318985485752,0.17407335498005685
2023-03-08,price_prior,False,25,0.57307692307692304,0.38137318985485752,0.17407335498005685
2023-03-09,learner,False,25,0.47692307692307689,0.40370037028457428,0.16235390239417724
2023-03-09,price_prior,False,25,0.47692307692307689,0.40370037028457428,0.16235390239417724
2023-03-10,learner,False,25,0.47230769230769232,0.37091967559890354,0.14191379969557236
