group,cases,control_ratio_min,control_ratio_median,control_wins,buy_hold_ratio_min,buy_hold_ratio_median,buy_hold_wins,mdd_not_worse
cardinality_coverage,24,0.22098528739855294,1.2135530649821804,15,0.13032465667887619,0.53873134892135455,2,3
common_five_exhaustive,31,0.52178371894117814,1.256592769052651,22,0.076169102058331856,0.40322685133519243,2,6
joint_removal,1,1.7826562635180447,1.7826562635180447,1,0.43009958886972854,0.43009958886972854,0,0
leave_one_out,34,0.65810974673026279,1.6052631992875344,33,0.39777744626336714,0.98808558557230219,17,0
original_pool,17,0.76403158209730382,1.6395114629871843,14,0.15104514818533865,0.51756796448152143,1,3
sampled_subset,48,0.27144327902473286,1.1951437483871448,30,0.057223495947928645,0.45490076852731887,6,7
sector_removal,7,0.51472590293112819,1.0792720499635144,5,0.36623158503813119,0.73237530673802576,2,0
single,34,0.40079763195069207,1.0811686660067861,21,0.098354954363494576,0.47963658201244408,1,13
stress,3,1.605940500141994,1.6552271282161524,3,1.0110251388538698,1.061606747942049,3,0
