case,group,treatment_wealth,control_wealth,buy_hold_wealth,treatment_control_wealth_ratio,treatment_buy_hold_wealth_ratio,treatment_mdd,control_mdd
chatgpt_1,original_pool,29.941092338416613,24.06046517245408,51.467905982931157,1.2444103687860133,0.58174296712880247,0.39393811203745338,0.40229929119330488
chatgpt_13,original_pool,6.9966593359076192,5.0658601919248962,13.518339263745949,1.381139445391814,0.51756796448152143,0.51477748288142511,0.39173916232314782
chatgpt_22,original_pool,4.718812659760391,1.7192958061607544,9.4262705527776784,2.7446194208416403,0.50060229370033082,0.54762266636718737,0.49248318607676012
chatgpt_3,original_pool,19.38123978037034,20.518985482182213,46.228593777381278,0.94455156163545018,0.41924787662161578,0.50612633098317994,0.3817311640443366
chatgpt_5,original_pool,27.483207350832089,9.2303360090729907,29.062957034788585,2.9774872034796322,0.94564387642780035,0.41198107582315502,0.39135611644665103
dumate_18,original_pool,6.888891740478126,4.2017954104002353,14.39697552758363,1.6395114629871843,0.47849575956279677,0.4917455648074906,0.38138642501057413
trae_10,original_pool,3.2187700302298961,1.6442802313456826,16.920302329771186,1.9575556336863866,0.19023123626854388,0.52870384476192145,0.46537496278519253
trae_15,original_pool,9.7022232376923299,3.9625598528704176,14.137428482471384,2.4484736124967772,0.68627920910240892,0.46977690111107828,0.38728983265968969
trae_24,original_pool,10.397862523448843,7.0137425103358817,11.207137403070522,1.4824984675622059,0.92778933187702739,0.44926390972672697,0.2765556349786038
trae_6,original_pool,3.7852939530270664,4.9543684341375664,25.060678866575401,0.76403158209730382,0.15104514818533865,0.59938598739124826,0.39906466671795282
trae_8,original_pool,11.2697850869578,4.4418670871926604,22.832587922116872,2.5371729648219858,0.49358334348255284,0.41482952490481101,0.45448136718347321
union,original_pool,10.76844874803993,6.5087580441559476,9.1023091233018008,1.654455224020603,1.1830458186124257,0.44039745893156063,0.33466426752273981
workbuddy_a,original_pool,19.38123978037034,20.518985482182213,46.228593777381278,0.94455156163545018,0.41924787662161578,0.50612633098317994,0.3817311640443366
workbuddy_b,original_pool,27.483207350832089,9.2303360090729907,29.062957034788585,2.9774872034796322,0.94564387642780035,0.41198107582315502,0.39135611644665103
workbuddy_c,original_pool,14.904832216993777,3.8962394895133294,22.948042884430336,3.8254404682027148,0.64950341482524976,0.41883761959502208,0.42753498907022541
workbuddy_d,original_pool,3.7043835500290849,3.3845544553515445,14.06509497336326,1.0944966609037232,0.26337422939870053,0.59604095121322775,0.45374013780318639
workbuddy_e,original_pool,9.3503672428879039,6.9132896291751154,11.218388165044354,1.3525206876083937,0.83348580075192424,0.4137303638861996,0.29935936608879321
