case_id,core_fraction,candidate_wealth,passive_wealth,wealth_ratio_to_passive,candidate_max_drawdown,passive_max_drawdown,drawdown_margin_to_passive,candidate_orders,passive_orders,candidate_turnover,passive_turnover,candidate_average_exposure,passive_average_exposure,candidate_blocked_attempts,passive_blocked_attempts,state_transitions,systemic_protection_signals,acute_damage_signals,funded_recovery_completions,minimum_exposure,final_exposure
chatgpt_original,0.5,3.6361896114335539,5.783832209789896,0.62868172511623444,0.36306087026627365,0.37608218466398968,0.013021314397716033,441,22,13.36058515079238,0.89516643046113842,0.78583226539617723,0.94248490240663774,26,0,93,15,0,0,0,0.98754360630627358
common_five,0.5,8.824945751639456,19.027561764836872,0.46379803469869935,0.50940344978159691,0.52389470066915012,0.014491250887553209,158,5,16.699006763150322,0.98814178338111769,0.75714805781727246,0.99665781524121355,6,0,96,16,0,0,0,0.99579067076575911
dumate_original,0.5,5.4810525950011799,8.5933316178786754,0.63782626328509084,0.40418192956293619,0.41778881912834964,0.013606889565413449,395,18,14.004315067616897,0.98076724524668779,0.81347757041606061,0.98841077861597082,14,0,95,15,0,0,0,0.99731694493445211
remove_optical_leaders,0.5,2.0021095864163572,3.0475364255241244,0.6569600184752602,0.40811218535919247,0.45691302126687872,0.048800835907686246,631,30,13.874353319729464,0.89350629870933129,0.75313012443561911,0.91864379321066902,75,6,96,17,0,0,0,0.92118364058994051
trae_original,0.5,4.0542547695228173,6.5952446401719929,0.6147239398563219,0.38453197075739598,0.41300817174346627,0.028476200986070288,534,25,15.007869618406938,0.94866185012470583,0.783678144470076,0.96759080952844023,56,0,99,18,0,0,0,0.9921920225768166
union_34,0.5,3.4946304826659018,5.3597431143899605,0.6520145477277518,0.35526522993812315,0.39879079738928846,0.043525567451165315,551,32,12.935102115311205,0.88683408344639536,0.73249800615502769,0.93533130222781979,80,0,83,17,0,0,0,0.98742819927888315
workbuddy_original,0.5,3.997696900001793,6.5872297678564582,0.60688590513560881,0.37077206153876419,0.41864834427969044,0.047876282740926257,515,26,14.328047132508679,0.9835285732336313,0.79855098790787116,0.98464169183614703,38,0,89,18,0,0,0,0.98002512620417925
chatgpt_original,0.59999999999999998,4.2839723098379805,5.783832209789896,0.74068059972189282,0.37007923250871133,0.37608218466398968,0.0060029521552783516,366,22,10.445816023075537,0.89516643046113842,0.81204164894813968,0.94248490240663774,20,0,89,15,0,0,0,0.9712780063471308
common_five,0.59999999999999998,9.5663960466482383,19.027561764836872,0.50276520790630341,0.54667869036328609,0.52389470066915012,-0.022783989694135975,156,5,14.13171985610734,0.98814178338111769,0.80908196004266331,0.99665781524121355,8,0,105,17,0,0,0,0.99656997358120647
dumate_original,0.59999999999999998,6.1448525097862561,8.5933316178786754,0.71507219586425741,0.40844764243277709,0.41778881912834964,0.0093411766955725506,337,18,11.258289145747467,0.98076724524668779,0.84722237282152701,0.98841077861597082,8,0,95,15,0,0,0,0.99749610288369084
