candidate,scope,horizon,shrinkage,positions,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,worst_normalized_deficit,objective
0,union,10,0.10000000000000001,2,MEASURED,2023-01-03,2025-12-31,727,1.0413032533502133,0.041303253350213343,0.013616838551567145,0.40462950301059986,0.40462950301059986,0.17539733689574974,86,28.738792314730102,38.021639634441335,60382.457306670833,95981.912956959422,0.16560620160208675,0,1.3511899297591545,-1.959392702537033
0,chatgpt_5,10,0.10000000000000001,2,MEASURED,2023-01-03,2025-12-31,727,1.9085261233301567,0.9085261233301567,0.24108477929850869,0.47385939250771081,0.47385939250771081,0.83717572428072895,88,29.407136322049407,44.190073074391371,78885.229860979758,134617.07010661997,0.24296825456646595,0,1.0590063425147132,-2.6737660832663082
0,joint_optical_leader_removal,10,0.10000000000000001,2,MEASURED,2023-01-03,2025-12-31,727,1.6189092339269266,0.61890923392692665,0.17467114870028122,0.20024906632789541,0.20024906632789541,0.88183192247080355,74,24.728728270814273,30.28004169599221,51274.792542998381,82553.08152191485,0.18890340276011375,0,0.24018199477297672,-0.79222518110449047
1,union,10,0.10000000000000001,4,MEASURED,2023-01-03,2025-12-31,727,0.84535888903945089,-0.15464111096054911,-0.054592189063123242,0.45095246529419086,0.45095246529419086,-0.1921287847589262,124,41.437328453796894,37.144692018275542,51382.336514479233,81152.697331921241,0.16806634245144822,0,1.5596570076604985,-2.2279990744292038
1,chatgpt_5,10,0.10000000000000001,4,MEASURED,2023-01-03,2025-12-31,727,2.1919220122388574,1.1919220122388574,0.29985289544605909,0.47462955485498615,0.47462955485498615,0.96879437995803941,99,33.083028362305583,43.577641269101527,91006.500160713054,155608.40905368302,0.25392162187231521,0,0.92055883341537981,-2.5432479800079437
1,joint_optical_leader_removal,10,0.10000000000000001,4,MEASURED,2023-01-03,2025-12-31,727,1.6112472614118738,0.6112472614118738,0.17281039025868816,0.14274103409957428,0.14274103409957428,1.0538830884742709,95,31.746340347666973,31.309922226604908,51262.581716272296,83003.816581116727,0.17503496774930025,0,0.24492602924687668,-0.76787341556085509
2,union,10,1,2,MEASURED,2023-01-03,2025-12-31,727,1.4369800098481047,0.4369800098481047,0.12879642367336119,0.23862442886585378,0.23862442886585378,0.75429459833486678,41,13.701052150045745,17.779922851134245,36121.278415091605,49939.16730541271,0.12771589209047218,0,1.029119290655065,-1.4953406731949235
2,chatgpt_5,10,1,2,MEASURED,2023-01-03,2025-12-31,727,0.79207342347348531,-0.20792657652651469,-0.074939270458587059,0.46556659559626923,0.46556659559626923,-0.18669941612918364,58,19.381976212259836,29.275575445498934,35842.649272502138,53924.648084300738,0.15930535801658011,0,1.9384388085688073,-3.5281646789927223
2,joint_optical_leader_removal,10,1,2,MEASURED,2023-01-03,2025-12-31,727,1.254742139286094,0.25474213928609402,0.078783137230157729,0.21871007995752012,0.21871007995752012,0.60015519032137432,39,13.032708142726442,17.199993958464994,31045.296412867479,41979.284499482135,0.10204929463887531,0,0.49500452008163098,-1.051436010093735
3,union,10,1,4,MEASURED,2023-01-03,2025-12-31,727,1.2464073341767719,0.24640733417677185,0.076383154707595935,0.25850105800484402,0.25850105800484402,0.52921162174365655,60,20.050320219579142,18.1706886796782,33674.59283250654,46575.933114297244,0.12846799667849471,0,1.1713977062187495,-1.6526272010520091
3,chatgpt_5,10,1,4,MEASURED,2023-01-03,2025-12-31,727,1.2285313049134412,0.2285313049134412,0.071199533154065131,0.3075395623429007,0.3075395623429007,0.39576363763289041,68,22.72369624885636,26.835755706136403,42594.875787107361,66697.589735345682,0.17893160646751929,0,1.499518228630585,-2.9761712166121863
3,joint_optical_leader_removal,10,1,4,MEASURED,2023-01-03,2025-12-31,727,1.0182110252551519,0.018211025255151947,0.0060490881315380385,0.2448358211352939,0.2448358211352939,0.11436580254004777,58,19.381976212259836,17.246172394026612,25945.556212937441,35438.71069741853,0.10689426363771087,0,0.70388741424018597,-1.2799132101356201
4,union,10,10,2,MEASURED,2023-01-03,2025-12-31,727,1.8082313081820127,0.80823130818201272,0.21889720008997826,0.18245394220076305,0.18245394220076305,1.155010563539651,20,6.6834400731930472,9.2648836625469553,20939.722732508832,26476.692251346256,0.095120449481124983,0,0.79931379689569237,-1.223407314436733
4,chatgpt_5,10,10,2,MEASURED,2023-01-03,2025-12-31,727,1.3241571867670552,0.32415718676705518,0.098370300070722783,0.40958923559425375,0.40958923559425375,0.49314478716005677,36,12.030192131747485,17.967254692941843,30403.751474433626,46171.348873880052,0.17879218148775958,0,1.4245614519188634,-2.972304302341267
4,joint_optical_leader_removal,10,10,2,MEASURED,2023-01-03,2025-12-31,727,1.0662092917307995,0.06620929173079948,0.02165478086239303,0.226970835462455,0.226970835462455,0.23384028013783054,18,6.0150960658737427,8.7751146677989862,15101.203286429714,19773.119125872901,0.076690801515864937,0,0.65782496467099172,-1.2204520213117969
