candidate,scope,trend_span,require_market_trend,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,20,False,MEASURED,2023-01-03,2025-12-31,727,1.9996344115397375,0.99963441153973753,0.26057667125488315,0.6904786444112091,0.6904786444112091,0.75185284895773397,271,90.56061299176578,71.284651357263598,95788.495807116225,164110.22717797026,0.77206537228116012,0,1.1529048746237618,-1.6449318871854453
0,chatgpt_5,20,False,MEASURED,2023-01-03,2025-12-31,727,7.3032537765055263,6.3032537765055263,0.94340360000101686,0.51021689875071807,0.51021689875071807,1.6183053371957592,113,37.761436413540714,42.963899952876133,119689.42834109484,218619.42406091513,0.56881943135499569,1,0.5426467733742808,-1.3757541224684537
0,joint_optical_leader_removal,20,False,MEASURED,2023-01-03,2025-12-31,727,1.5511896808390297,0.55118968083902975,0.15801683732850891,0.52631927373172871,0.52631927373172871,0.58021732674419979,265,88.555580969807878,67.888069170949564,89392.484999864115,155838.42278091435,0.72871743715181225,3,0.48044692737430172,-1.207161979581076
1,union,20,True,MEASURED,2023-01-03,2025-12-31,727,2.8169489743409377,1.8169489743409377,0.41352515985448823,0.55152292369473499,0.55152292369473499,1.0759537178080965,229,76.525388838060394,55.206313339273201,97334.048725721455,170633.23532368316,0.65470894042704941,3,0.71964245454926967,-1.1699546427064025
1,chatgpt_5,20,True,MEASURED,2023-01-03,2025-12-31,727,3.6574123090308146,2.6574123090308146,0.54239979196638055,0.48802632387109657,0.48802632387109657,1.2090202603458382,99,33.083028362305583,38.354712253263813,85754.269961710306,152100.70582311504,0.51694988554798027,0,0.47555331014092439,-2.0413184688979773
1,joint_optical_leader_removal,20,True,MEASURED,2023-01-03,2025-12-31,727,1.4504687194443557,0.45046871944435574,0.13232624820378081,0.47772768440251479,0.47772768440251479,0.54825910286999924,225,75.188700823421783,55.975805911219567,79955.724781422628,141863.50913417642,0.58786828304361827,9,0.35004784586377446,-1.2111199408564679
2,union,60,False,MEASURED,2023-01-03,2025-12-31,727,2.0227051696776974,1.0227051696776974,0.26541828239497622,0.66169690653339608,0.66169690653339608,0.77235475610148663,192,64.161024702653251,50.854835260969303,64025.315147940622,111528.29298198676,0.8061999022168348,5,1.0631637301599444,-1.5590749684159504
2,chatgpt_5,60,False,MEASURED,2023-01-03,2025-12-31,727,6.963419312517849,5.963419312517849,0.91270370657453337,0.49205435293700417,0.49205435293700417,1.6161517363402231,88,29.407136322049407,33.725945926600119,103808.87017250905,181798.12777574523,0.59470803897697366,3,0.48773210323224481,-1.3930729503418731
2,joint_optical_leader_removal,60,False,MEASURED,2023-01-03,2025-12-31,727,1.5617546236077724,0.5617546236077724,0.16064653028329956,0.52216751330683486,0.52216751330683486,0.60114177188593032,185,61.821820677035682,44.919086738306184,61735.479296256599,107686.82952400141,0.74845321963814648,0,0.27612465693270699,-1.143792863310868
3,union,60,True,MEASURED,2023-01-03,2025-12-31,727,3.7360680171394831,2.7360680171394831,0.55340604915255898,0.48103492808651727,0.48103492808651727,1.3001470437836562,162,54.135864592863683,37.354151621210562,69258.46141263927,123557.7622596647,0.69355167957078567,3,0.49986165383124703,-0.78993024669171108
3,chatgpt_5,60,True,MEASURED,2023-01-03,2025-12-31,727,6.7298944887983545,5.7298944887983545,0.89102459659302657,0.46280955942263091,0.46280955942263091,1.6544798880168698,83,27.736276303751144,30.083657070246893,93885.662985359289,162382.98509470429,0.57372343978332807,2,0.39931012727768711,-1.4019088036191885
3,joint_optical_leader_removal,60,True,MEASURED,2023-01-03,2025-12-31,727,1.4328281830216854,0.43282818302168535,0.12770550493774913,0.49841085223004433,0.49841085223004433,0.53426739859322347,161,53.801692589204031,38.83210585089256,55577.699402048063,97477.000522437593,0.65144742420945689,9,0.3622843633866818,-1.1960948177815871
