date,nav,cash,global_peak,warning_cap,funded_budget,actual_risk,requested_risk,original_target_error,changed_units,target_l1_change,protective,reason
2023-01-03,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,WARMUP_OR_NO_FRESH_QUOTES|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-04,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,WARMUP_OR_NO_FRESH_QUOTES|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-05,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,WARMUP_OR_NO_FRESH_QUOTES|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-06,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,WARMUP_OR_NO_FRESH_QUOTES|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-09,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,WARMUP_OR_NO_FRESH_QUOTES|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-10,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,WARMUP_OR_NO_FRESH_QUOTES|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-11,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,WARMUP_OR_NO_FRESH_QUOTES|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-12,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,WARMUP_OR_NO_FRESH_QUOTES|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-13,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,WARMUP_OR_NO_FRESH_QUOTES|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-16,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-17,2000000,2000000,2000000,0,200000,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2023-01-18,2000000,2000000,2000000,0.5,200000,0,0,0,False,0,False,CONFIRMED_RECOVERY|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0.5|RETAIN_ACTUAL_UNITS
2023-01-19,2000000,2000000,2000000,0.5,200000,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0.5|RETAIN_ACTUAL_UNITS
2023-01-20,2000000,2000000,2000000,0.5,200000,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0.5|RETAIN_ACTUAL_UNITS
2023-01-30,2000000,2000000,2000000,1,200000,0,0,0,False,0,False,CONFIRMED_RECOVERY|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2023-01-31,2000000,2000000,2000000,1,200000,0,0,0,False,0,False,MARKET_WEAK_WARNING|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2023-02-01,2000000,2000000,2000000,1,200000,0,0,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2023-02-02,2000000,2000000,2000000,1,200000,0,0,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2023-02-03,2000000,2000000,2000000,1,200000,0,0,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2023-02-06,2000000,2000000,2000000,1,200000,0,0,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2023-02-07,2000000,2000000,2000000,1,200000,0,145458.44617872825,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|CASH_FUNDED_SUPPORT_RISK
2023-02-08,1928262.3241809346,491289.02510888001,2000000,1,192826.23241809348,85232.638727871526,85232.638727871526,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2023-02-09,2076889.0124552813,491289.02510888001,2076889.0124552813,1,207688.90124552813,190677.27780933992,190677.27780933992,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2023-02-10,2159055.9575793622,491289.02510888001,2159055.9575793622,1,215905.59575793624,198878.93356226248,198878.93356226248,0,False,0,False,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|RETAIN_ACTUAL_UNITS
2023-02-13,2270946.6606277204,491289.02510888001,2270946.6606277204,1,227094.66606277204,236049.67341384391,226558.21983665004,0,False,0,True,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|PROTECTIVE_INVENTORY_PENDING
2023-02-14,2182747.4402914448,552997.32655736001,2270946.6606277204,1,218274.74402914449,141403.5820895459,140763.29143996234,0,False,0,True,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|PROTECTIVE_INVENTORY_PENDING
