date,nav,cash,global_peak,warning_cap,funded_budget,actual_risk,requested_risk,original_target_error,changed_units,target_l1_change,protective,reason
2024-06-24,3085619.8917785743,1093024.8284640545,3572005.240064959,0,308561.98917785747,180793.19939521808,178900.08964475774,0,False,0,True,CROSS_SECTION_SHOCK|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-06-25,2985411.5577539578,1093024.8284640545,3572005.240064959,0,298541.1557753958,87112.064480804736,69604.703660479296,0,False,0,True,ACCUMULATED_MARKET_SHOCK|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-06-26,3015956.6114458237,1945761.2718254931,3572005.240064959,0,301595.66114458238,98017.615082159857,97022.872087124008,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-06-27,2980126.0228551156,1945761.2718254931,3572005.240064959,0,298012.60228551156,62187.026491451637,61555.515677093361,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-06-28,2985241.8674644427,1945761.2718254931,3572005.240064959,0,298524.18674644426,67302.871100778415,65936.069628102428,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-01,3032627.3274783986,1956200.482560093,3572005.240064959,0,303262.73274783988,114122.51389228502,111783.08190632571,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-02,3058381.8332228847,1967214.823828453,3572005.240064959,0,305838.1833222885,138283.56329372717,135420.73325221142,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-03,3029336.7255002758,1978294.0669799629,3572005.240064959,0,302933.67255002761,108025.94848811488,106895.47352804664,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-04,3052160.1655577165,1989571.0112524529,3572005.240064959,0,305216.01655577164,129436.03727174095,128067.72384525574,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-05,3059888.6968110329,2000838.9691103529,3572005.240064959,0,305988.86968110333,135746.60661653781,134298.45444630552,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-08,3064371.5260434384,2000838.9691103529,3572005.240064959,0,306437.15260434384,140229.43584894339,137237.70242369885,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-09,3112445.4408242889,2012083.9616865229,3572005.240064959,0,311244.54408242891,170132.3015815953,166466.07260903626,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-10,3120235.268903791,2023888.1089482929,3572005.240064959,0,312023.52689037909,170506.43296585101,166792.56041895648,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-11,3092294.8887888202,2048199.2644173328,3572005.240064959,0.5,309229.48887888202,138414.9136066706,136873.26646941635,0,False,0,True,CONFIRMED_RECOVERY|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0.5|PROTECTIVE_INVENTORY_PENDING
2024-07-12,3065471.8526074607,2048199.2644173328,3572005.240064959,0.5,306547.1852607461,77232.462178194997,76371.896417401847,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0.5|PROTECTIVE_INVENTORY_PENDING
2024-07-15,3056977.8911500298,2048199.2644173328,3572005.240064959,0.5,305697.78911500302,68738.500720764394,67972.467217848389,0,False,0,True,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0.5|PROTECTIVE_INVENTORY_PENDING
2024-07-16,3071584.6242038333,2059876.6033843327,3572005.240064959,1,307158.46242038335,82136.955233099885,81211.511198423046,0,False,0,True,CONFIRMED_RECOVERY|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|PROTECTIVE_INVENTORY_PENDING
2024-07-17,3040551.1782546211,2059876.6033843327,3572005.240064959,1,304055.11782546213,51103.509283887819,50527.426952796384,0,False,0,True,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|PROTECTIVE_INVENTORY_PENDING
2024-07-18,3024954.8823416838,2059876.6033843327,3572005.240064959,1,302495.48823416838,35507.21337095034,35106.842225596069,0,False,0,True,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|PROTECTIVE_INVENTORY_PENDING
2024-07-19,2993726.9247654397,2059876.6033843327,3572005.240064959,1,299372.69247654401,18677.006427622138,18466.286427622137,0,False,0,True,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|PROTECTIVE_INVENTORY_PENDING
2024-07-22,2991542.5979757463,2070447.6148662528,3572005.240064959,1,299154.25979757466,18421.89966218987,18211.679662189868,0,False,0,True,TREND_OPEN|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_1|PROTECTIVE_INVENTORY_PENDING
2024-07-23,2965988.097389027,2081153.4225670227,3572005.240064959,0,296598.80973890272,17696.693496440086,0,0,False,0,True,CROSS_SECTION_SHOCK|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|PROTECTIVE_INVENTORY_PENDING
2024-07-24,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,ACCUMULATED_MARKET_SHOCK|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-07-25,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,ACCUMULATED_MARKET_SHOCK|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
2024-07-26,2958358.2126138201,2958358.2126138201,3572005.240064959,0,295835.82126138202,0,0,0,False,0,False,RECOVERY_WAIT|FUNDED_STOP_RISK_BUDGET_0.1|ENTRY_WARNING_CAP_0|RETAIN_ACTUAL_UNITS
