date,symbol,pnl,carry,execution,units_before,units_after
2023-02-07,sh688037,-5233.1910160089046,-0,-5233.1910160089046,0,5486.4457223124537
2023-02-07,sh688041,12356.943737535952,0,12356.943737535952,0,10299.960285111096
2023-02-07,sh688256,30157.82643750203,0,30157.82643750203,0,10442.625928455564
2023-02-07,sz002281,11812.05977735677,0,11812.05977735677,0,25889.06581740977
2023-02-08,sh688037,-6369.7634836047664,-6369.7634836047664,0,5486.4457223124537,5486.4457223124537
2023-02-08,sh688041,-25028.903492819962,-25028.903492819962,0,10299.960285111096,10299.960285111096
2023-02-08,sh688256,-6307.3460607871521,-6307.3460607871521,0,10442.625928455564,10442.625928455564
2023-02-08,sz002281,-21487.924628450157,-21487.924628450157,0,25889.06581740977,25889.06581740977
2023-02-09,sh688037,19614.043457267038,19614.043457267038,0,5486.4457223124537,5486.4457223124537
2023-02-09,sh688041,64683.750590497693,64683.750590497693,0,10299.960285111096,10299.960285111096
2023-02-09,sh688256,29918.123285025209,29918.123285025209,0,10442.625928455564,10442.625928455564
2023-02-09,sz002281,30807.988322717658,30807.988322717658,0,25889.06581740977,25889.06581740977
2023-02-10,sh688037,-3862.457788507932,-3862.457788507932,0,5486.4457223124537,5486.4457223124537
2023-02-10,sh688041,-30075.884032524416,-30075.884032524416,0,10299.960285111096,10299.960285111096
2023-02-10,sh688256,281.95090006831089,281.95090006831089,0,10442.625928455564,10442.625928455564
2023-02-10,sz002281,52813.694267515908,52813.694267515908,0,25889.06581740977,25889.06581740977
2023-02-13,sh688037,24475.034367235847,24475.034367235847,0,5486.4457223124537,5486.4457223124537
2023-02-13,sh688041,19878.923350264413,19878.923350264413,0,10299.960285111096,10299.960285111096
2023-02-13,sh688256,58802.426603133281,58802.426603133281,0,10442.625928455564,10442.625928455564
2023-02-13,sz002281,26406.847133757954,26406.847133757954,0,25889.06581740977,25889.06581740977
2023-02-14,sh688037,-5524.8508423686681,-5524.8508423686681,0,5486.4457223124537,5486.4457223124537
2023-02-14,sh688041,6694.9741853221976,6694.9741853221976,0,10299.960285111096,10299.960285111096
