case_id,core_fraction,candidate_wealth,passive_wealth,wealth_ratio_to_passive,candidate_max_drawdown,passive_max_drawdown,drawdown_margin_to_passive,candidate_orders,passive_orders,candidate_turnover,passive_turnover,candidate_average_exposure,passive_average_exposure,candidate_blocked_attempts,passive_blocked_attempts,state_transitions,systemic_protection_signals,acute_damage_signals,funded_recovery_completions,minimum_exposure,final_exposure
chatgpt_original,0.5,4.1470866059801565,5.783832209789896,0.71701364347338215,0.38427965804468833,0.37608218466398968,-0.0081974733806986499,282,22,7.9387995682102552,0.89516643046113842,0.87429413945407841,0.94248490240663774,8,0,114,9,0,9,0,0.98093195821491908
common_five,0.5,14.126328188930387,19.027561764836872,0.74241399731183555,0.48532622083400645,0.52389470066915012,0.038568479835143665,50,5,6.0321459307942993,0.98814178338111769,0.91052087330372944,0.99665781524121355,1,0,127,6,0,6,0,0.9996163781067201
dumate_original,0.5,6.829926134848388,8.5933316178786754,0.79479373525380181,0.39075431876152533,0.41778881912834964,0.02703450036682431,161,18,5.699594001890099,0.98076724524668779,0.92410379401653708,0.98841077861597082,5,0,110,6,0,6,0,0.99253592968337667
remove_optical_leaders,0.5,2.3763327879245648,3.0475364255241244,0.77975533549722087,0.41514416292189704,0.45691302126687872,0.041768858344981674,350,30,7.9128500577656871,0.89350629870933129,0.86033684560607193,0.91864379321066902,26,6,117,9,0,9,0,0.96581901884354637
trae_original,0.5,5.490893697074493,6.5952446401719929,0.83255345277552883,0.38376719506395784,0.41300817174346627,0.029240976679508424,211,25,5.9622604822973422,0.94866185012470583,0.91221796332987648,0.96759080952844023,8,0,114,7,0,7,0,0.99946603923766497
union_34,0.5,4.2856745726322547,5.3597431143899605,0.79960447379016686,0.36944651694213504,0.39879079738928846,0.029344280447153426,283,32,6.4084435813266438,0.88683408344639536,0.8668603998949338,0.93533130222781979,5,0,115,8,0,8,0,0.94717155719766399
workbuddy_original,0.5,5.2337906393897269,6.5872297678564582,0.79453591628592113,0.38676464181633496,0.41864834427969044,0.031883702463355479,212,26,6.0132713359766843,0.9835285732336313,0.9137434808013849,0.98464169183614703,6,0,115,7,0,7,0,0.99318071962758092
chatgpt_original,0.59999999999999998,4.6241065982205933,5.783832209789896,0.7994883721546564,0.37653752124523965,0.37608218466398968,-0.00045533658124996546,214,22,5.8127412455605114,0.89516643046113842,0.88863426822283398,0.94248490240663774,5,0,118,9,0,9,0,0.97460602292355358
common_five,0.59999999999999998,14.620528537448342,19.027561764836872,0.7683868652297442,0.49119500585064435,0.52389470066915012,0.032699694818505765,48,5,5.0025119067088681,0.98814178338111769,0.92823385208263542,0.99665781524121355,2,0,124,6,0,6,0,0.99964951073065433
dumate_original,0.59999999999999998,7.2318795431636635,8.5933316178786754,0.84156877271179997,0.39484219362198192,0.41778881912834964,0.022946625506367724,135,18,4.7383386846460676,0.98076724524668779,0.93845437096691209,0.98841077861597082,2,0,112,6,0,6,0,0.99663524520075875
remove_optical_leaders,0.59999999999999998,2.5203190746111495,3.0475364255241244,0.82700211669420731,0.41000815011532921,0.45691302126687872,0.04690487115154951,267,30,5.7863395629658383,0.89350629870933129,0.87757499384035176,0.91864379321066902,22,6,120,9,0,9,0,0.96752487125738162
trae_original,0.59999999999999998,5.764651389950906,6.5952446401719929,0.87406179822930319,0.38787284589695992,0.41300817174346627,0.025135325846506351,176,25,4.9066009325866693,0.94866185012470583,0.92600631237266096,0.96759080952844023,2,0,114,7,0,7,0,0.9957285038456698
union_34,0.59999999999999998,4.5405460709604846,5.3597431143899605,0.84715740550511143,0.36903181167841603,0.39879079738928846,0.029758985710872432,245,32,5.1468170937179334,0.88683408344639536,0.87907914029417955,0.93533130222781979,1,0,115,8,0,8,0,0.90404628355471672
workbuddy_original,0.59999999999999998,5.4000388786733033,6.5872297678564582,0.81977387596584828,0.39436527604205096,0.41864834427969044,0.024283068237639482,180,26,4.9886115773565667,0.9835285732336313,0.92897278237381298,0.98464169183614703,4,0,115,7,0,7,0,0.99084248020602317
chatgpt_original,0.69999999999999996,4.9654580700915423,5.783832209789896,0.85850659043788513,0.37797170506455102,0.37608218466398968,-0.0018895204005613397,160,22,4.2829696301631843,0.89516643046113842,0.9030828160388128,0.94248490240663774,8,0,118,9,0,9,0,0.96714759136666462
common_five,0.69999999999999996,16.18974314425472,19.027561764836872,0.85085747424420566,0.50340673344434905,0.52389470066915012,0.020487967224801062,41,5,3.9524139009397024,0.98814178338111769,0.94547661176786801,0.99665781524121355,1,0,125,6,0,6,0,0.99992398050607667
dumate_original,0.69999999999999996,7.5927735901369378,8.5933316178786754,0.88356576096050476,0.39653233632011753,0.41778881912834964,0.021256482808232113,98,18,3.7838350504884821,0.98076724524668779,0.95153841782144555,0.98841077861597082,1,0,112,6,0,6,0,0.99980155574875196
remove_optical_leaders,0.69999999999999996,2.7358942599109484,3.0475364255241244,0.89773964209153667,0.41061348745959114,0.45691302126687872,0.046299533807287574,190,30,3.8276333848143387,0.89350629870933129,0.88543641911111892,0.91864379321066902,4,6,121,10,0,10,0,0.97334729418720356
trae_original,0.69999999999999996,6.1377404156026953,6.5952446401719929,0.93063119724435783,0.38587249003926904,0.41300817174346627,0.027135681704197223,127,25,3.7091869999135838,0.94866185012470583,0.93325285221114529,0.96759080952844023,62,0,114,7,0,7,0,0.99674219517824736
union_34,0.69999999999999996,4.7001303173281048,5.3597431143899605,0.87693201278790545,0.36890126693551861,0.39879079738928846,0.029889530453769853,185,32,3.8670094283003942,0.88683408344639536,0.89827825656112148,0.93533130222781979,2,0,115,8,0,8,0,0.92826030595039843
workbuddy_original,0.69999999999999996,5.7329343638718786,6.5872297678564582,0.87031036807714468,0.38939272919606183,0.41864834427969044,0.029255615083628617,134,26,3.9115401945858324,0.9835285732336313,0.94155284820967522,0.98464169183614703,17,0,115,7,0,7,0,0.99071457890865544
