candidate,scope,window,drawdown_penalty,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,20,1,MEASURED,2023-01-03,2025-12-31,727,4.4319100087388428,3.4319100087388428,0.64464658556343246,0.41478610444317743,0.41478610444317743,1.330177175226936,1654,552.72049405306495,103.63717891414473,210636.64690594637,389547.89311497827,0.50847610974656665,1414,8.451428571428572,-1.5666159696015423
0,chatgpt_5,20,1,MEASURED,2023-01-03,2025-12-31,727,5.5161623842460283,4.5161623842460283,0.76943387119770557,0.51618232161125066,0.51618232161125066,1.4051124466940037,426,142.3572735590119,98.75243144965043,215511.44834177438,390228.88383744727,0.53890828918860467,495,2.5798319327731094,-1.8700574372971546
0,joint_optical_leader_removal,20,1,MEASURED,2023-01-03,2025-12-31,727,2.3637467377758061,1.3637467377758061,0.3330516461342472,0.47183237625328933,0.47183237625328933,0.94150832108504712,1605,536.34606587374196,99.461477646933886,185681.17134579751,346156.91609449958,0.47954956443720542,1482,7.966480446927374,-1.6406519879471555
1,union,20,2,MEASURED,2023-01-03,2025-12-31,727,4.4570968864811764,3.4570968864811764,0.64776408358481641,0.28456386353653684,0.28456386353653684,1.4011499121109299,1633,545.70288197621232,107.61442526135046,234677.99566859051,435054.30040826363,0.45161360837625014,1158,8.331428571428571,-1.4492470773428177
1,chatgpt_5,20,2,MEASURED,2023-01-03,2025-12-31,727,7.7011511932375942,6.7011511932375942,0.97816301540208528,0.39102447083193292,0.39102447083193292,1.7107094279409354,363,121.3044373284538,92.192707906736473,290815.96560993121,545105.74113221338,0.46640765062847678,397,2.0504201680672267,-1.4003959517175495
1,joint_optical_leader_removal,20,2,MEASURED,2023-01-03,2025-12-31,727,2.4437315328488407,1.4437315328488407,0.34795878420938964,0.43553268827789315,0.43553268827789315,0.99708071110414287,1783,595.82868252516016,113.32909664010552,199855.52662083914,364152.23642952682,0.43043186862964228,1451,8.960893854748603,-1.6991142283201142
2,union,60,1,MEASURED,2023-01-03,2025-12-31,727,3.5007244912532811,2.5007244912532811,0.51999565591591401,0.49838989044604309,0.49838989044604309,1.1998965605039564,1305,436.09446477584629,81.635336958463071,160405.98287081163,298144.86234843062,0.52209018167366705,1265,6.4571428571428573,-1.6319274503253656
2,chatgpt_5,60,1,MEASURED,2023-01-03,2025-12-31,727,5.7954496342182678,4.7954496342182678,0.79888067870090729,0.53484738809999643,0.53484738809999643,1.4511442782303845,274,91.563129002744745,70.582088372307439,193015.56949019217,355760.0135240964,0.63680637210537439,522,1.3025210084033612,-1.7330772825064373
2,joint_optical_leader_removal,60,1,MEASURED,2023-01-03,2025-12-31,727,1.1951877460227147,0.19518774602271471,0.06139487750750372,0.61407866412191647,0.61407866412191647,0.34978578451650322,1390,464.49908508691675,86.96889689147568,115494.26740247656,198034.32181619585,0.49740306988081356,1302,6.7653631284916198,-2.2855874204736444
3,union,60,2,MEASURED,2023-01-03,2025-12-31,727,2.7913351319970268,1.7913351319970268,0.40921703098807161,0.46858456066071852,0.46858456066071852,1.0455985380233033,1216,406.35315645013725,86.461798978577377,158124.5217223542,284876.00602366053,0.49158373597355109,1062,5.9485714285714284,-1.7765407576072161
3,chatgpt_5,60,2,MEASURED,2023-01-03,2025-12-31,727,4.3609673775535347,3.3609673775535347,0.63580178761503525,0.5633056527608945,0.5633056527608945,1.2872907279092816,311,103.92749313815187,75.248366897893149,176772.34670609614,320956.29194764199,0.54382097391162931,441,1.6134453781512605,-2.0635288647478576
3,joint_optical_leader_removal,60,2,MEASURED,2023-01-03,2025-12-31,727,1.0917342608177043,0.091734260817704305,0.029763784254343228,0.57127684129162981,0.57127684129162981,0.26388092151106152,1309,437.43115279048493,96.142107333646351,132011.75396550813,233885.47356795819,0.42255837679776226,1202,6.3128491620111733,-2.2898859746350109
4,union,120,1,MEASURED,2023-01-03,2025-12-31,727,2.8915577821447047,1.8915577821447047,0.42592723057083548,0.53443815374479375,0.53443815374479375,1.0548140149029768,653,218.21431838975298,60.843981372486319,113658.94442297872,206790.28006400538,0.55138300295547005,1198,2.7314285714285713,-1.4143779177363871
4,chatgpt_5,120,1,MEASURED,2023-01-03,2025-12-31,727,5.6121579572536167,4.6121579572536167,0.77966489993699062,0.56932661867286538,0.56932661867286538,1.3674031208786153,232,77.527904849039345,52.903823675968624,136423.73385136676,262546.0720527519,0.63464771965309119,671,0.94957983193277307,-1.7630040127565174
4,joint_optical_leader_removal,120,1,MEASURED,2023-01-03,2025-12-31,727,0.98668405903740886,-0.013315940962591144,-0.0044696881454584503,0.59802467287486394,0.59802467287486394,0.15959554193073983,1045,349.20974382433673,73.47541045231965,93947.465647549368,163109.58537267905,0.44439315299080634,2032,4.8379888268156428,-2.2346769202834031
5,union,120,2,MEASURED,2023-01-03,2025-12-31,727,2.2258947453043127,1.2258947453043127,0.30655084923660891,0.61798171890899112,0.61798171890899112,0.8534030674199885,1166,389.64455626715466,76.63232032752083,121299.3958513167,217411.1314431357,0.50964489561175164,1253,5.6628571428571428,-2.0815324817249223
5,chatgpt_5,120,2,MEASURED,2023-01-03,2025-12-31,727,5.7689323738489504,4.7689323738489504,0.79612596379162492,0.4281936108935136,0.4281936108935136,1.4438488675300163,222,74.186184812442818,47.857557204458267,128854.20687245532,235587.89395310308,0.54100091418737861,473,0.86554621848739499,-1.6229190921608025
5,joint_optical_leader_removal,120,2,MEASURED,2023-01-03,2025-12-31,727,1.2831481516260317,0.28314815162603169,0.086883701044428996,0.45271311739397901,0.45271311739397901,0.41954723786087977,905,302.42566331198537,61.47590949892632,95587.264385873932,162866.24726694199,0.40410667636524039,2207,4.0558659217877091,-1.7694031477778684
