case_id,core_fraction,candidate_wealth,passive_wealth,wealth_ratio_to_passive,candidate_max_drawdown,passive_max_drawdown,drawdown_margin_to_passive,candidate_orders,passive_orders,candidate_turnover,passive_turnover,candidate_average_exposure,passive_average_exposure,candidate_blocked_attempts,passive_blocked_attempts,state_transitions,systemic_protection_signals,acute_damage_signals,funded_recovery_completions,minimum_exposure,final_exposure
chatgpt_original,0.5,5.644312458205702,5.783832209789896,0.97587762809784862,0.36248522287324925,0.37608218466398968,0.013596961790740436,50,22,1.4576387678677378,0.89516643046113842,0.86894577368300274,0.94248490240663774,0,0,11,1,0,0,0,0.96374417070407603
common_five,0.5,17.838573269674853,19.027561764836872,0.93751230400106855,0.53023112754730195,0.52389470066915012,-0.0063364268781518351,17,5,1.8639811218298736,0.98814178338111769,0.97981486790670613,0.99665781524121355,0,0,17,1,0,0,0,0.99857216484694145
dumate_original,0.5,8.5943563994379932,8.5933316178786754,1.0001192531144947,0.40078207218691975,0.41778881912834964,0.017006746941429896,95,18,2.9575865216412955,0.98076724524668779,0.94448318046754232,0.98841077861597082,3,0,17,2,0,0,0,0.99422310986308282
remove_optical_leaders,0.5,2.9090808790061975,3.0475364255241244,0.9545680421213949,0.42885911245907982,0.45691302126687872,0.0280539088077989,56,30,1.3630915923296993,0.89350629870933129,0.83625424619982414,0.91864379321066902,7,6,4,1,0,0,0,0.92661932608473174
trae_original,0.5,6.5003819114401864,6.5952446401719929,0.98561649583792654,0.41103946712364481,0.41300817174346627,0.0019687046198214597,58,25,1.7414847060033094,0.94866185012470583,0.95049466027958596,0.96759080952844023,6,0,6,1,0,0,0,0.98867919097742873
union_34,0.5,5.2121850813892534,5.3597431143899605,0.97246919677837917,0.38015579403180533,0.39879079738928846,0.018635003357483138,62,32,1.4131527634126646,0.88683408344639536,0.87285932291876434,0.93533130222781979,4,0,4,1,0,0,0,0.96055546174429596
workbuddy_original,0.5,6.4956760070815474,6.5872297678564582,0.98610132574672538,0.4156662286356384,0.41864834427969044,0.0029821156440520413,64,26,1.8409247309724586,0.9835285732336313,0.96623102716600573,0.98464169183614703,3,0,6,1,0,0,0,0.99289422300987884
chatgpt_original,0.59999999999999998,5.646215796396949,5.783832209789896,0.97620670717936575,0.36221596666944644,0.37608218466398968,0.01386621799454324,42,22,1.2664460192543909,0.89516643046113842,0.87043592495533695,0.94248490240663774,0,0,11,1,0,0,0,0.96347733283157111
common_five,0.59999999999999998,18.324128723920559,19.027561764836872,0.96303083655120414,0.53080055623713418,0.52389470066915012,-0.006905855567984065,14,5,1.6718518767192088,0.98814178338111769,0.98403248882802674,0.99665781524121355,0,0,17,1,0,0,0,0.99897129114407091
dumate_original,0.59999999999999998,8.612674399061035,8.5933316178786754,1.0022509059399169,0.40354356752612219,0.41778881912834964,0.014245251602227449,80,18,2.5400307806866733,0.98076724524668779,0.95495023848871563,0.98841077861597082,0,0,17,2,0,0,0,0.99540044162161201
remove_optical_leaders,0.59999999999999998,2.9210568994404986,3.0475364255241244,0.95849778036307687,0.42788315622422268,0.45691302126687872,0.029029865042656033,46,30,1.1590843493793968,0.89350629870933129,0.83557245607489217,0.91864379321066902,10,6,4,1,0,0,0,0.92517449322185175
trae_original,0.59999999999999998,6.5257396449557303,6.5952446401719929,0.98946134692367527,0.40816180264015567,0.41300817174346627,0.0048463691033105993,52,25,1.5171045876716991,0.94866185012470583,0.94726877865716319,0.96759080952844023,3,0,6,1,0,0,0,0.98638585429645287
union_34,0.59999999999999998,5.2264181545051356,5.3597431143899605,0.97512474813823236,0.37750251496895848,0.39879079738928846,0.021288282420329985,52,32,1.200637065859796,0.88683408344639536,0.8689300678975681,0.93533130222781979,7,0,4,1,0,0,0,0.95827166765132665
workbuddy_original,0.59999999999999998,6.5088871399591799,6.5872297678564582,0.98810689308583632,0.41557296582782577,0.41864834427969044,0.0030753784518646743,55,26,1.630853286356031,0.9835285732336313,0.9675928343323339,0.98464169183614703,3,0,6,1,0,0,0,0.99275753811187561
chatgpt_original,0.69999999999999996,5.6546737866372467,5.783832209789896,0.9776690577340692,0.36103750105090449,0.37608218466398968,0.015044683613085197,33,22,1.0750484124393374,0.89516643046113842,0.86960019085937601,0.94248490240663774,0,0,11,1,0,0,0,0.96226879888488892
common_five,0.69999999999999996,18.682998608553195,19.027561764836872,0.98189136577023584,0.52893328503548942,0.52389470066915012,-0.0050385843663393048,14,5,1.4844439948179315,0.98814178338111769,0.98698034741625862,0.99665781524121355,0,0,18,1,0,0,0,0.99906745767604321
dumate_original,0.69999999999999996,7.1845063908342537,8.5933316178786754,0.8360559920539643,0.40657001442912388,0.41778881912834964,0.01121880469922576,214,18,6.1836158153404632,0.98076724524668779,0.91423375796704121,0.98841077861597082,7,0,53,8,0,0,0,0.99120508135371321
remove_optical_leaders,0.69999999999999996,2.9254303315592058,3.0475364255241244,0.95993285168234921,0.42674256891711237,0.45691302126687872,0.030170452349766341,35,30,0.96043231075076763,0.89350629870933129,0.83499457057099236,0.91864379321066902,0,6,4,1,0,0,0,0.92388467214008396
trae_original,0.69999999999999996,6.5360017711245995,6.5952446401719929,0.99101733562898608,0.40718507179190877,0.41300817174346627,0.0058230999515574977,45,25,1.3385520800757245,0.94866185012470583,0.94638870158252797,0.96759080952844023,3,0,6,1,0,0,0,0.98559369399164443
union_34,0.69999999999999996,5.2438132198128411,5.3597431143899605,0.9783702516887669,0.3803777977564532,0.39879079738928846,0.01841299963283527,40,32,1.0063618963525749,0.88683408344639536,0.87681000264461817,0.93533130222781979,3,0,4,1,0,0,0,0.96052411864325349
workbuddy_original,0.69999999999999996,6.5261573943822828,6.5872297678564582,0.99072867113696428,0.41319023185279102,0.41864834427969044,0.0054581124268994197,50,26,1.4311598397135046,0.9835285732336313,0.96368672274077316,0.98464169183614703,5,0,6,1,0,0,0,0.9909229267472629
