date,method,model_fitted,count,rank_correlation,top4_logreturn,universe_logreturn
2023-02-06,learner,False,28,0.57690202517788736,0.5218838690467128,0.25655441113959315
2023-02-06,price_prior,False,28,0.57690202517788736,0.5218838690467128,0.25655441113959315
2023-02-07,learner,False,28,0.50082101806239732,0.64552366921861681,0.24492741028560119
2023-02-07,price_prior,False,28,0.50082101806239732,0.64552366921861681,0.24492741028560119
2023-02-08,learner,False,28,0.6655719759168035,0.71477032839832599,0.25275058510727944
2023-02-08,price_prior,False,28,0.6655719759168035,0.71477032839832599,0.25275058510727944
2023-02-09,learner,False,28,0.62014230979748231,0.59742912872338738,0.15300630982708233
2023-02-09,price_prior,False,28,0.62014230979748231,0.59742912872338738,0.15300630982708233
2023-02-10,learner,False,28,0.59934318555008204,0.47129370632894807,0.15230080965243101
2023-02-10,price_prior,False,28,0.59934318555008204,0.47129370632894807,0.15230080965243101
2023-02-13,learner,False,28,0.62123700054734543,0.44738822326165395,0.12180297336515708
2023-02-13,price_prior,False,28,0.62123700054734543,0.44738822326165395,0.12180297336515708
2023-02-14,learner,False,28,0.56486042692939242,0.46351070718678444,0.14862008771477281
2023-02-14,price_prior,False,28,0.56486042692939242,0.46351070718678444,0.14862008771477281
2023-02-15,learner,False,28,0.4964422550629447,0.41161109661324191,0.12674433864976106
2023-02-15,price_prior,False,28,0.4964422550629447,0.41161109661324191,0.12674433864976106
2023-02-16,learner,False,28,0.52052545155993424,0.38187453671306265,0.17977766671163176
2023-02-16,price_prior,False,28,0.52052545155993424,0.38187453671306265,0.17977766671163176
2023-02-17,learner,False,28,0.46031746031746029,0.49479679639652485,0.26200582058283556
2023-02-17,price_prior,False,28,0.46031746031746029,0.49479679639652485,0.26200582058283556
2023-02-20,learner,False,28,0.44006568144499175,0.43368741949379097,0.24443312780201268
2023-02-20,price_prior,False,28,0.44006568144499175,0.43368741949379097,0.24443312780201268
2023-02-21,learner,False,28,0.45539135194307606,0.5408529825565499,0.24254853655507103
2023-02-21,price_prior,False,28,0.45539135194307606,0.5408529825565499,0.24254853655507103
2023-02-22,learner,False,28,0.52107279693486586,0.3793053586767331,0.21969682820189476
2023-02-22,price_prior,False,28,0.52107279693486586,0.3793053586767331,0.21969682820189476
2023-02-23,learner,False,28,0.50465243568691842,0.53060811067271174,0.23651859271230294
2023-02-23,price_prior,False,28,0.50465243568691842,0.53060811067271174,0.23651859271230294
2023-02-24,learner,False,28,0.48111658456486051,0.60475617411371041,0.26933956433936462
2023-02-24,price_prior,False,28,0.48111658456486051,0.60475617411371041,0.26933956433936462
2023-02-27,learner,False,28,0.46579091406677609,0.64470281526471152,0.290694135208036
2023-02-27,price_prior,False,28,0.46579091406677609,0.64470281526471152,0.290694135208036
2023-02-28,learner,False,28,0.51067323481116589,0.6847455071018852,0.30745054416130774
2023-02-28,price_prior,False,28,0.51067323481116589,0.6847455071018852,0.30745054416130774
2023-03-01,learner,False,28,0.52599890530925009,0.69896630780583813,0.31330133945319222
2023-03-01,price_prior,False,28,0.52599890530925009,0.69896630780583813,0.31330133945319222
2023-03-02,learner,False,28,0.5752599890530925,0.70288393295390283,0.29579366805456003
2023-03-02,price_prior,False,28,0.5752599890530925,0.70288393295390283,0.29579366805456003
2023-03-03,learner,False,28,0.69841269841269848,0.71100697874500307,0.27776460718422047
2023-03-03,price_prior,False,28,0.69841269841269848,0.71100697874500307,0.27776460718422047
2023-03-06,learner,False,28,0.66119321291735078,0.48553328872076768,0.25036668950114488
2023-03-06,price_prior,False,28,0.66119321291735078,0.48553328872076768,0.25036668950114488
2023-03-07,learner,False,28,0.59989053092501354,0.54127524522474613,0.29666465615639537
2023-03-07,price_prior,False,28,0.59989053092501354,0.54127524522474613,0.29666465615639537
2023-03-08,learner,False,28,0.61412151067323473,0.51109554709682514,0.26119429711540137
2023-03-08,price_prior,False,28,0.61412151067323473,0.51109554709682514,0.26119429711540137
2023-03-09,learner,False,28,0.49096880131362891,0.55007965707441131,0.25216670077423281
2023-03-09,price_prior,False,28,0.49096880131362891,0.55007965707441131,0.25216670077423281
