case,group,treatment_wealth,control_wealth,buy_hold_wealth,treatment_control_wealth_ratio,treatment_buy_hold_wealth_ratio,treatment_mdd,control_mdd
chatgpt_1,original_pool,29.941092338416613,24.06046517245408,51.467905982931157,1.2444103687860133,0.58174296712880247,0.39393811203745338,0.40229929119330488
chatgpt_13,original_pool,6.9966593359076192,5.0658601919248962,13.518339263745949,1.381139445391814,0.51756796448152143,0.51477748288142511,0.39173916232314782
chatgpt_22,original_pool,3.9697692528933297,1.7192958061607544,9.4262705527776784,2.3089506986921342,0.42113890437014256,0.62800253138373952,0.49248318607676012
chatgpt_3,original_pool,19.38123978037034,20.518985482182213,46.228593777381278,0.94455156163545018,0.41924787662161578,0.50612633098317994,0.3817311640443366
chatgpt_5,original_pool,26.38996492023518,9.2303360090729907,29.062957034788585,2.8590470481567598,0.90802752413136034,0.43604406446289928,0.39135611644665103
dumate_18,original_pool,8.1880215185115635,4.2017954104002353,14.39697552758363,1.9486959070507497,0.56873205784255654,0.44593636363624828,0.38138642501057413
trae_10,original_pool,3.2187700302298961,1.6442802313456826,16.920302329771186,1.9575556336863866,0.19023123626854388,0.52870384476192145,0.46537496278519253
trae_15,original_pool,9.5470926667673872,3.9625598528704176,14.137428482471384,2.4093245329409019,0.675306168912159,0.46859801379977151,0.38728983265968969
trae_24,original_pool,10.560388506416292,7.0137425103358817,11.207137403070522,1.505670972502035,0.94229133868948245,0.4490636826367006,0.2765556349786038
trae_6,original_pool,3.7852939530270664,4.9543684341375664,25.060678866575401,0.76403158209730382,0.15104514818533865,0.59938598739124826,0.39906466671795282
trae_8,original_pool,11.2139556664211,4.4418670871926604,22.832587922116872,2.5246040564236063,0.49113817954725403,0.415291000411043,0.45448136718347321
union,original_pool,10.391757415410927,6.5087580441559476,9.1023091233018008,1.5965806909570757,1.1416616678956941,0.44179980543735081,0.33466426752273981
workbuddy_a,original_pool,19.38123978037034,20.518985482182213,46.228593777381278,0.94455156163545018,0.41924787662161578,0.50612633098317994,0.3817311640443366
workbuddy_b,original_pool,26.38996492023518,9.2303360090729907,29.062957034788585,2.8590470481567598,0.90802752413136034,0.43604406446289928,0.39135611644665103
workbuddy_c,original_pool,15.557134668585274,3.8962394895133294,22.948042884430336,3.9928589375619929,0.67792860362573204,0.41883761959502208,0.42753498907022541
workbuddy_d,original_pool,2.9362585050575296,3.3845544553515445,14.06509497336326,0.86754653937235837,0.20876208163672344,0.6530625667480785,0.45374013780318639
workbuddy_e,original_pool,7.3172686161880094,6.9132896291751154,11.218388165044354,1.0584351312735463,0.65225667970627565,0.51551159583545048,0.29935936608879321
