case_index,case,group,policy,window,universe_size,cost_multiplier,delay,average_exposure_full,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
0,chatgpt_1,original_pool,buy_hold,bull,1,1,1,0.9985765857501836,MEASURED,2023-01-03,2026-06-30,843,70.587554910066885,69.587554910066885,2.3886127519118938,0.61890212036413483,0.61890212036413483,2.1106853951867279,2,0.57339089481946615,0.98535616194709841,519.61585675999993,1996.5259999997495,0.99848765741363976,0
0,chatgpt_1,original_pool,buy_hold,full,1,1,1,0.9985765857501836,MEASURED,2023-01-03,2026-09-11,896,51.467905982931157,50.467905982931157,1.9113675366564944,0.61890212036413483,0.61890212036413483,1.8663182020952152,2,0.54231625835189312,0.98535616194709841,519.61585675999993,1996.5259999997495,0.9985765857501836,0
0,chatgpt_1,original_pool,buy_hold,july_august,1,1,1,0.9985765857501836,MEASURED,2026-07-01,2026-08-31,44,0.67078963524735813,-0.32921036475264182,-0.90845171860537122,0.33385600252360709,0.38798742468249348,-1.9803581689272964,0,0,0,0,0,0.99999124837442643,0
0,chatgpt_1,original_pool,buy_hold,late_june_august,1,1,1,0.9985765857501836,MEASURED,2026-06-22,2026-08-31,51,0.62279092490786547,-0.37720907509213442,-0.91549014169890641,0.38798742468249348,0.38798742468249348,-2.1877355176435089,0,0,0,0,0,0.99999153567484556,0
0,chatgpt_1,original_pool,buy_hold,recovery,1,1,1,0.9985765857501836,MEASURED,2026-09-01,2026-09-11,9,1.0869811603407959,0.086981160340795893,20.038228510318799,0.053880525681733397,0.4118600124820242,4.0443802823543695,0,0,0,0,0,0.99999007822127794,0
0,chatgpt_1,original_pool,control,bull,1,1,1,0.44925183739713498,MEASURED,2023-01-03,2026-06-30,843,27.006463889539816,26.006463889539816,1.57273633045188,0.40229929119330488,0.40229929119330488,2.1632038015353241,108,30.963108320251177,28.856484500508682,174591.22034918258,327987.9050268213,0.47454054622851261,48
0,chatgpt_1,original_pool,control,full,1,1,1,0.44925183739713498,MEASURED,2023-01-03,2026-09-11,896,24.06046517245408,23.06046517245408,1.3689277412115035,0.40229929119330488,0.40229929119330488,2.0259896277309215,110,29.827394209354122,29.85976877235121,211132.95984822395,376117.27057532064,0.44925183739713498,48
0,chatgpt_1,original_pool,control,july_august,1,1,1,0.44925183739713498,MEASURED,2026-07-01,2026-08-31,44,0.89091505170261165,-0.1090849482973882,-0.499234334370255,0.1163517359469504,0.18806506039570139,-3.5446487509580109,2,11.975409836065577,1.0032842718425243,36541.739499041374,48129.365548499336,0.056635587209017901,0
0,chatgpt_1,original_pool,control,late_june_august,1,1,1,0.44925183739713498,MEASURED,2026-06-22,2026-08-31,51,0.82724829758611951,-0.17275170241388041,-0.62826299206278968,0.18806506039570139,0.18806506039570139,-3.4944148648247446,2,10.435714285714289,1.0032842718425243,36541.739499041374,48129.365548499336,0.18592685649175281,0
0,chatgpt_1,original_pool,control,recovery,1,1,1,0.44925183739713498,MEASURED,2026-09-01,2026-09-11,9,1,0,0,0,0.18138801588445869,0,0,0,0,0,0,0,0
