candidate,scope,positions,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,2,MEASURED,2023-01-03,2025-12-31,727,4.7441484288384199,3.7441484288384199,0.68249260197978567,0.30557893804803971,0.30557893804803971,1.4281064292868777,145,48.454940530649587,39.032396900663642,90265.86628999369,165529.21786890013,0.51337827889082999,25,0,-0.4080981832079621
0,chatgpt_5,2,MEASURED,2023-01-03,2025-12-31,727,7.9041830487015989,6.9041830487015989,0.99543997887196078,0.39135611644665103,0.39135611644665103,1.7491092776610122,164,54.804208600182982,36.222570571701624,134601.34278754212,243133.85296790846,0.48819175555248917,46,0.37815126050420167,-1.241621932599057
0,joint_optical_leader_removal,2,MEASURED,2023-01-03,2025-12-31,727,1.1546791488756403,0.15467914887564027,0.049235136263946933,0.35331033491094144,0.35331033491094144,0.3169906767347706,169,56.475068618481245,47.479839409441482,53350.728517320684,95081.695827486517,0.46688897802252155,45,0.57811209264907548,-1.3084439111132078
1,union,4,MEASURED,2023-01-03,2025-12-31,727,2.1608026203353985,1.1608026203353985,0.2936565676903149,0.31547541224872022,0.31547541224872022,0.8886361813517808,288,96.241537053979883,43.335771812246151,65817.459898168425,118680.51605332365,0.50520072355426948,45,0.64571428571428569,-1.2975259446442826
1,chatgpt_5,4,MEASURED,2023-01-03,2025-12-31,727,8.0066476920540737,7.0066476920540737,1.0040471587165607,0.39149533260750613,0.39149533260750613,1.7467585164435242,191,63.826852698993598,37.123997600766224,139867.24127601343,249962.12253392258,0.49987741876524028,41,0.60504201680672276,-1.2468915939611462
1,joint_optical_leader_removal,4,MEASURED,2023-01-03,2025-12-31,727,0.75687199561719065,-0.24312800438280935,-0.088886072887151113,0.5284070999979249,0.5284070999979249,-0.16802564487588284,311,103.92749313815187,46.589152488696129,44445.815735525466,76797.26951409028,0.4636175192649114,73,1.0004957389896103,-1.9570549803083215
