date,symbol,actual_units,weight,price,stop,entry_close_anchor,stop_broken,price_exit,stale,mature,stop_only,risk_cap,reason,subsequent40_price_return,subsequent40_price_drawdown
2023-02-17,sh688012,12633.912150006134,0.45389152522348597,69.578999999999994,67.871799999999993,72.337000000000003,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.84239311292772934,0.075169136799008052
2023-02-20,sh688019,15716.056010184662,0.54385731976405571,66.388999999999996,64.063000000000002,69.405000000000001,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.26871519281864975,0.15930163002841335
2023-03-07,sh688037,6171.7090194348057,0.32635171865461182,102.09099999999999,92.018299999999996,98.796000000000006,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.19732136733714123,0.193016085427272
2023-03-07,sh688256,11385.838909645365,0.34188796581600805,57.972999999999999,49.195,54.845999999999997,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,1.3411623868215616,0.21982952754132323
2023-03-22,sh688037,2848.5082872928174,0.10857144555104567,96.278999999999996,96.427999999999997,109.152,True,True,False,False,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.25630481879561651,0.21754318141024764
2023-05-10,sh688256,3335.4185130060014,0.14017290402080099,132.60400000000001,133.27620000000002,63.274999999999999,True,False,False,True,True,0.25,BROAD_TREND_BREAKDOWN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.030936124906000395,0.29755090129526107
2023-06-21,sh688072,1790.7269268584619,0.082495024559238447,183.34200000000001,178.07900000000001,186.82400000000001,False,True,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.17248647547975582,0.26872970056231704
2023-06-21,sz300308,16610.785238484015,0.47025241060475936,112.669,97.700249999999997,37.554000000000002,False,False,False,True,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.26747317922534886,0.27291957333813399
2023-09-18,sh688082,14710.537055860108,0.40998141026717222,104.67100000000001,99.465500000000006,112.411,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.053973784161978511,0.093275790059863528
2023-09-18,sh688361,6872.3552429365172,0.13676279178810666,74.739999999999995,71.223500000000001,83.670000000000002,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.031308286703970012,0.097413584723229252
