date,symbol,actual_units,weight,price,stop,entry_close_anchor,stop_broken,price_exit,stale,mature,stop_only,risk_cap,reason,subsequent40_price_return,subsequent40_price_drawdown
2023-02-17,sh688012,12633.912150006134,0.45389152522348597,69.578999999999994,67.871799999999993,72.337000000000003,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.84239311292772934,0.075169136799008052
2023-02-20,sh688019,15716.056010184662,0.54385731976405571,66.388999999999996,64.063000000000002,69.405000000000001,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.26871519281864975,0.15930163002841335
2023-03-07,sh688037,6171.7090194348057,0.32635171865461182,102.09099999999999,92.018299999999996,98.796000000000006,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.19732136733714123,0.193016085427272
2023-03-07,sh688256,11385.838909645365,0.34188796581600805,57.972999999999999,49.195,54.845999999999997,False,False,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,1.3411623868215616,0.21982952754132323
2023-03-22,sh688037,2848.5082872928174,0.10857144555104567,96.278999999999996,96.427999999999997,109.152,True,True,False,False,False,1,TREND_OPEN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.25630481879561651,0.21754318141024764
2023-05-10,sh688256,4735.1813948517456,0.21133488364492517,132.60400000000001,133.27620000000002,63.274999999999999,True,False,False,True,True,0.25,BROAD_TREND_BREAKDOWN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.030936124906000395,0.29755090129526107
2023-05-11,sh688041,866.54878458655503,0.021948919333886551,75.391000000000005,74.241,73.941000000000003,False,True,False,True,False,0.25,BROAD_TREND_BREAKDOWN|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.073748855964239746,0.27817860281433426
2023-06-20,sh688037,6753.2825473870544,0.28880034755204909,125.122,119.45699999999999,124.733,False,True,False,False,False,1,CONFIRMED_RECOVERY|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.28712663020614215,0.26828538913301714
2023-06-21,sh688072,2576.2715186627988,0.16268975212442532,183.34200000000001,178.07900000000001,186.82400000000001,False,True,False,False,False,0,CROSS_SECTION_SHOCK|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,-0.17248647547975582,0.26872970056231704
2023-09-18,sh688082,12953.133448365552,0.4926642484920582,104.67100000000001,99.465500000000006,112.411,False,True,False,False,False,1,MARKET_WEAK_WARNING|PROTECTIVE_INVENTORY_PENDING|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION,0.053973784161978511,0.093275790059863528
