date,symbol,pnl,carry,execution,units_before,units_after,log_contribution,carry_log_contribution,execution_log_contribution
2023-01-19,sh688012,13227.950328453242,0,13227.950328453242,0,6799.6045687950736,0.0065930180320927911,0,0.0065930180320927911
2023-01-19,sh688019,-499.74972756535686,-0,-499.74972756535686,0,7521.6072869825894,-0.00024908310687292467,-0,-0.00024908310687292467
2023-01-20,sh688012,-2645.0461772613517,-2645.0461772613517,0,6799.6045687950736,6799.6045687950736,-0.0013185342447065702,-0.0013185342447065702,0
2023-01-20,sh688019,-10695.725562089219,-10695.725562089219,0,7521.6072869825894,7521.6072869825894,-0.0053317331647494363,-0.0053317331647494363,0
2023-01-30,sh688012,-6616.0152454375993,-6616.0152454375993,0,6799.6045687950736,6799.6045687950736,-0.0033184340931276929,-0.0033184340931276929,0
2023-01-30,sh688019,-4716.0477689381551,-4716.0477689381551,0,7521.6072869825894,7521.6072869825894,-0.002365456112280776,-0.002365456112280776,0
2023-01-31,sh603986,-59158.538773137749,-0,-59158.538773137749,0,9129.1432407485099,-0.030367835406879685,-0,-0.030367835406879685
2023-01-31,sh688012,-19504.278760598383,-9172.6665633044831,-10331.6121972939,6799.6045687950736,12558.924910867132,-0.010012125711947085,-0.004708602244298552,-0.0053035234676485337
2023-01-31,sh688019,-776.60873311907335,-2504.6952265651903,1728.0864934461169,7521.6072869825894,0,-0.00039865633384464491,-0.001285734468128321,0.0008870781342836761
2023-02-01,sh603986,4108.114458336855,4108.114458336855,0,9129.1432407485099,9129.1432407485099,0.0021458381158760823,0.0021458381158760823,0
2023-02-01,sh688012,7585.5906461637378,7585.5906461637378,0,12558.924910867132,12558.924910867132,0.0039622677763854353,0.0039622677763854353,0
2023-02-02,sh603986,19079.909373164286,19079.909373164286,0,9129.1432407485099,9129.1432407485099,0.0098198626340444562,0.0098198626340444562,0
2023-02-02,sh688012,26461.65478719704,26461.65478719704,0,12558.924910867132,12558.924910867132,0.013619027742618953,0.013619027742618953,0
2023-02-03,sh603986,3925.5315935219214,3925.5315935219214,0,9129.1432407485099,9129.1432407485099,0.0019979935931969954,0.0019979935931969954,0
2023-02-03,sh688012,-6153.8732063250091,-6153.8732063250091,0,12558.924910867132,12558.924910867132,-0.0031321615803256834,-0.0031321615803256834,0
2023-02-06,sh603986,-28574.218343542794,-28574.218343542794,0,9129.1432407485099,9129.1432407485099,-0.014686483684995793,-0.014686483684995793,0
2023-02-06,sh688012,-7334.4121479462665,-7334.4121479462665,0,12558.924910867132,12558.924910867132,-0.0037697172694205871,-0.0037697172694205871,0
2023-02-07,sh603986,-8216.22891667371,-8216.22891667371,0,9129.1432407485099,9129.1432407485099,-0.0042965886071384277,-0.0042965886071384277,0
2023-02-07,sh688012,-22593.505914650053,-22593.505914650053,0,12558.924910867132,12558.924910867132,-0.011815031091843084,-0.011815031091843084,0
2023-02-08,sh603986,1429.5504277120317,-3742.9487287068578,5172.4991564188895,9129.1432407485099,0,0.00077307708909220003,-0.0020241244042304828,0.0027972014933226831
2023-02-08,sh688012,-3311.2789856724985,2536.9028319951376,-5848.1818176676361,12558.924910867132,0,-0.001790684588519831,0.0013719148472484857,-0.0031625994357683167
2023-02-08,sh688256,-39554.794261825315,-0,-39554.794261825315,0,17884.305247166063,-0.021390574697328954,-0,-0.021390574697328954
2023-02-08,sz300394,-53226.232195401011,-0,-53226.232195401011,0,92034.799054373536,-0.028783860891722943,-0,-0.028783860891722943
2023-02-09,sh688256,51238.534533130805,51238.534533130805,0,17884.305247166063,17884.305247166063,0.027182760042951306,0.027182760042951306,0
2023-02-09,sz300394,116700.12520094571,116700.12520094571,0,92034.799054373536,92034.799054373536,0.061911050525235434,0.061911050525235434,0
2023-02-10,sh688256,482.87624167350202,482.87624167350202,0,17884.305247166063,17884.305247166063,0.00023939879508405847,0.00023939879508405847,0
2023-02-10,sz300394,93967.529834515284,93967.529834515284,0,92034.799054373536,92034.799054373536,0.046586912914673512,0.046586912914673512,0
2023-02-13,sh688256,100706.52284679211,100706.52284679211,0,17884.305247166063,17884.305247166063,0.046556661566001946,0.046556661566001946,0
2023-02-13,sz300394,99305.548179669102,99305.548179669102,0,92034.799054373536,92034.799054373536,0.045908990475828207,0.045908990475828207,0
2023-02-14,sh688256,-24251.117915157211,-24251.117915157211,0,17884.305247166063,17884.305247166063,-0.010960760676272758,-0.010960760676272758,0
2023-02-14,sz300394,-79149.927186761182,-79149.927186761182,0,92034.799054373536,92034.799054373536,-0.035773336819919545,-0.035773336819919545,0
2023-02-15,sh688256,43458.861750613527,43458.861750613527,0,17884.305247166063,17884.305247166063,0.019716982572181834,0.019716982572181834,0
2023-02-15,sz300394,42888.216359338003,42888.216359338003,0,92034.799054373536,92034.799054373536,0.019458084736816494,0.019458084736816494,0
2023-02-16,sh688256,-103228.20988664249,-103228.20988664249,0,17884.305247166063,17884.305247166063,-0.047711827668869639,-0.047711827668869639,0
2023-02-16,sz300394,-62675.698156028302,-62675.698156028302,0,92034.799054373536,92034.799054373536,-0.028968555327369489,-0.028968555327369489,0
2023-02-17,sh688256,-4764.0323738157849,-5991.2422578006463,1227.2098839848611,17884.305247166063,14981.533773505584,-0.0023082142634275964,-0.0029028079051505516,0.00059459364172295508
2023-02-17,sz300394,-30610.529675541733,-35893.571631205734,5283.0419556639999,92034.799054373536,77449.250814106941,-0.01483106235727928,-0.017390741183849236,0.0025596788265699554
2023-02-20,sh688256,24629.641523643153,24629.641523643153,0,14981.533773505584,14981.533773505584,0.011851373263487385,0.011851373263487385,0
2023-02-20,sz300394,39499.117915194525,39499.117915194525,0,77449.250814106941,77449.250814106941,0.019006317633251082,0.019006317633251082,0
2023-02-21,sh688256,28659.674108716132,28659.674108716132,0,14981.533773505584,14981.533773505584,0.013477819017505324,0.013477819017505324,0
2023-02-21,sz300394,3407.7670358207429,3407.7670358207429,0,77449.250814106941,77449.250814106941,0.0016025746555381906,0.0016025746555381906,0
2023-02-22,sh688256,-9048.8463991973604,-9048.8463991973604,0,14981.533773505584,14981.533773505584,-0.0042610131632382937,-0.0042610131632382937,0
2023-02-22,sz300394,-28578.773550405444,-28578.773550405444,0,77449.250814106941,77449.250814106941,-0.013457464622041265,-0.013457464622041265,0
2023-02-23,sh688256,-11865.374748616447,-11865.374748616447,0,14981.533773505584,14981.533773505584,-0.0056541796006204298,-0.0056541796006204298,0
2023-02-23,sz300394,-851.9417589552545,-851.9417589552545,0,77449.250814106941,77449.250814106941,-0.00040597383702214491,-0.00040597383702214491,0
2023-02-24,sh688256,47356.628258051169,47356.628258051169,0,14981.533773505584,14981.533773505584,0.021909019469573854,0.021909019469573854,0
2023-02-24,sz300394,92861.651726114214,92861.651726114214,0,77449.250814106941,77449.250814106941,0.04296141449424945,0.04296141449424945,0
2023-02-27,sh688256,-27760.782082305763,-27760.782082305763,0,14981.533773505584,14981.533773505584,-0.012635691436741146,-0.012635691436741146,0
2023-02-27,sz300394,-42597.087947758737,-42597.087947758737,0,77449.250814106941,77449.250814106941,-0.019388634578658775,-0.019388634578658775,0
2023-02-28,sh688256,-12060.134687672096,-12060.134687672096,0,14981.533773505584,14981.533773505584,-0.0055937896969590209,-0.0055937896969590209,0
2023-02-28,sz300394,0,0,0,77449.250814106941,77449.250814106941,0,0,0
2023-03-01,sh688256,66667.825292099893,66667.825292099893,0,14981.533773505584,14981.533773505584,0.030307394515543745,0.030307394515543745,0
2023-03-01,sz300394,33612.974853322354,33612.974853322354,0,77449.250814106941,77449.250814106941,0.015280559779132466,0.015280559779132466,0
2023-03-02,sh688256,9048.8463991973604,9048.8463991973604,0,14981.533773505584,14981.533773505584,0.0039491408381821082,0.0039491408381821082,0
2023-03-02,sz300394,73654.237524215743,73654.237524215743,0,77449.250814106941,77449.250814106941,0.032144534726310077,0.032144534726310077,0
2023-03-03,sh688256,22217.614586108841,22217.614586108841,0,14981.533773505584,14981.533773505584,0.0096789930653070743,0.0096789930653070743,0
2023-03-03,sz300394,-96811.56351763368,-96811.56351763368,0,77449.250814106941,77449.250814106941,-0.042175475152700599,-0.042175475152700599,0
2023-03-06,sh688256,-24929.272199113315,-24929.272199113315,0,14981.533773505584,14981.533773505584,-0.011137322169273489,-0.011137322169273489,0
2023-03-06,sz300394,-14947.70540712261,-14947.70540712261,0,77449.250814106941,77449.250814106941,-0.0066779892120732319,-0.0066779892120732319,0
2023-03-07,sh688256,-33693.46945661409,-33693.46945661409,0,14981.533773505584,14981.533773505584,-0.015458016076693028,-0.015458016076693028,0
2023-03-07,sz300394,-43449.029706713991,-43449.029706713991,0,77449.250814106941,77449.250814106941,-0.019933708536247357,-0.019933708536247357,0
2023-03-08,sh688256,18008.348763879916,21423.59329611298,-3415.2445322330632,14981.533773505584,0,0.0083783821492897682,0.0099673242671653242,-0.0015889421178755549
2023-03-08,sz300394,-1887.8974234581365,19749.558957597194,-21637.45638105533,77449.250814106941,0,-0.00087834405473741488,0.0091884799876025755,-0.010066824042339991
2023-03-13,sh688037,-5816.2492340425879,-0,-5816.2492340425879,0,4783.4254143646403,-0.0026791674704984155,-0,-0.0026791674704984155
2023-03-13,sh688256,32799.629130158988,0,32799.629130158988,0,9242.3932540946498,0.015108654370517087,0,0.015108654370517087
2023-03-14,sh688037,1784.2176795580331,1784.2176795580331,0,4783.4254143646403,4783.4254143646403,0.00080832541196125215,0.00080832541196125215,0
2023-03-14,sh688256,44104.700608539657,44104.700608539657,0,9242.3932540946498,9242.3932540946498,0.019981278460180135,0.019981278460180135,0
2023-03-15,sh688037,-23902.776795580106,-23902.776795580106,0,4783.4254143646403,4783.4254143646403,-0.010758557509524746,-0.010758557509524746,0
2023-03-15,sh688256,6765.4318619972773,6765.4318619972773,0,9242.3932540946498,9242.3932540946498,0.0030450975795217146,0.0030450975795217146,0
2023-03-16,sh688037,-33783.171156610581,-18478.372375690604,-15304.798780919977,4783.4254143646403,9613.4294643921221,-0.015468726395187388,-0.0084609252690600392,-0.0070078011261273483
