date,bj920045,sh600206,sh601869,sh603986,sh688008,sh688012,sh688019,sh688037,sh688041,sh688072,sh688082,sh688120,sh688205,sh688249,sh688256,sh688268,sh688300,sh688347,sh688361,sh688409,sh688498,sh688535,sh688825,sz002281,sz002371,sz002409,sz300054,sz300223,sz300308,sz300394,sz300502,sz300604,sz300666,sz300776
2025-03,0,0.016878740983388159,0.014506684991808013,0,0,0,0.019202446603954076,0,0,0,0,0,0,0,-0.030483508032537795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0088317786074249942
2025-04,0,0,0,0,0,0,-0.04737214631886854,0,0,0,0,0,0,0,0.00025221943831856572,0.002042385281229167,0,0,0,0,0,0,0,0,-0.00063279416563847917,0,0,0,0,0,0,0,0,0.010641638256879301
2025-05,0,0,0,0,0,0,0.0031911429464696788,0,0,0,0,0,-0.015396627819820933,0,0.0368163825901466,-0.0077275511570008308,0,0,0,0,-0.0070559233478231179,0,0,0,-0.0060260392209066952,0,0,0,0,0,0,0,0,0
2025-06,0,0,0.018967124874378485,0,0,0,0,0,0,0,0,0,-0.032139101851282409,0,0,0,0,0,0,0,0.13365099185336338,0,0,0,0,0,0,0,0,0,-0.081002664728085261,0,0,0
2025-07,0,0,0.084687326648893238,0,0,0,0,0,0,0,0,0,0.0035676997994609763,0,0,0,0,0,0,0,0.044776312677493248,0,0,0,0,0,0,0,0,0,-0.17334746398665116,0,0,0
2025-08,0,0,0.25072324403873131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038869530665165762,0,0,0,0,0,0,0,0,0,-0.37277177877251255,0,0,0
2025-09,0,0,-0.035743895390648942,0,0,0,0,0,-0.015966891661291678,0,0,0,0,0,0,0,0,0,0,0,0.026540605577996115,0,0,0,0,0,0,0,0.0070912962762376287,0,0.052769966174519914,0,0,0
2025-10,0,0,0,0,0,0,0,0,0.00015273148453583238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0635047941242112,0,-0.0013358250841411443,0,0,0
2025-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034980714568139059,0,0,0,0,0,0,0,0.00085917389342901021,0,-0.00013944249834847434,0,0,0
2025-12,0,0,0,0,0,0,0,0,0,0,0,0,-0.0053707488964756444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02134295510406432,0,-0.039760233194367355,0,0,0
