date,symbol,pnl,carry,execution,units_before,units_after,log_contribution,carry_log_contribution,execution_log_contribution
2023-02-08,sh688256,-37364.02584025637,-0,-37364.02584025637,0,16893.771181488839,-0.019097888514433625,-0,-0.019097888514433625
2023-02-08,sz300394,-49103.073363362833,-0,-49103.073363362833,0,84905.342789598129,-0.025098072269268194,-0,-0.025098072269268194
2023-02-09,sh688256,48400.65443496556,48400.65443496556,0,16893.771181488839,16893.771181488839,0.02431529344342552,0.02431529344342552,0
2023-02-09,sz300394,107659.97465721049,107659.97465721049,0,84905.342789598129,84905.342789598129,0.054085712403315993,0.054085712403315993,0
2023-02-10,sh688256,456.13182190021593,456.13182190021593,0,16893.771181488839,16893.771181488839,0.00021588295968471606,0.00021588295968471606,0
2023-02-10,sz300394,86688.354988179606,86688.354988179606,0,84905.342789598129,84905.342789598129,0.041028794191740367,0.041028794191740367,0
2023-02-13,sh688256,95128.825522963656,95128.825522963656,0,16893.771181488839,16893.771181488839,0.042301723861537528,0.042301723861537528,0
2023-02-13,sz300394,91612.864869976431,91612.864869976431,0,84905.342789598129,84905.342789598129,0.040738252475939554,0.040738252475939554,0
2023-02-14,sh688256,-22907.953722098893,-22907.953722098893,0,16893.771181488839,16893.771181488839,-0.0099808861885339224,-0.0099808861885339224,0
2023-02-14,sz300394,-73018.59479905435,-73018.59479905435,0,84905.342789598129,84905.342789598129,-0.031813853527780857,-0.031813853527780857,0
2023-02-15,sh688256,41051.863971017876,41051.863971017876,0,16893.771181488839,16893.771181488839,0.017945187175587428,0.017945187175587428,0
2023-02-15,sz300394,39565.889739952669,39565.889739952669,0,84905.342789598129,84905.342789598129,0.017295616531648076,0.017295616531648076,0
2023-02-16,sh688256,-97510.847259553557,-97510.847259553557,0,16893.771181488839,16893.771181488839,-0.043345638444786734,-0.043345638444786734,0
2023-02-16,sz300394,-57820.538439716256,-57820.538439716256,0,84905.342789598129,84905.342789598129,-0.025702454899398736,-0.025702454899398736,0
2023-02-17,sh688256,-5659.4133457987755,-5659.4133457987755,0,16893.771181488839,16893.771181488839,-0.0026281351430091872,-0.0026281351430091872,0
2023-02-17,sz300394,-33113.083687943319,-33113.083687943319,0,84905.342789598129,84905.342789598129,-0.015377151944254252,-0.015377151944254252,0
2023-02-20,sh688256,27773.359822367624,27773.359822367624,0,16893.771181488839,16893.771181488839,0.012802261023103117,0.012802261023103117,0
2023-02-20,sz300394,43301.724822695025,43301.724822695025,0,84905.342789598129,84905.342789598129,0.019960134008859255,0.019960134008859255,0
2023-02-21,sh688256,32317.784270188095,32317.784270188095,0,16893.771181488839,16893.771181488839,0.014537128620523573,0.014537128620523573,0
2023-02-21,sz300394,3735.8350827423587,3735.8350827423587,0,84905.342789598129,84905.342789598129,0.0016804467363496609,0.0016804467363496609,0
2023-02-22,sh688256,-10203.837793619245,-10203.837793619245,0,16893.771181488839,16893.771181488839,-0.0045955697497933072,-0.0045955697497933072,0
2023-02-22,sz300394,-31330.07148936169,-31330.07148936169,0,84905.342789598129,84905.342789598129,-0.014110331005595453,-0.014110331005595453,0
2023-02-23,sh688256,-13379.866775739187,-13379.866775739187,0,16893.771181488839,16893.771181488839,-0.0061025698180165412,-0.0061025698180165412,0
2023-02-23,sz300394,-933.95877068566506,-933.95877068566506,0,84905.342789598129,84905.342789598129,-0.00042597947354698477,-0.00042597947354698477,0
2023-02-24,sh688256,53401.210704686244,53401.210704686244,0,16893.771181488839,16893.771181488839,0.023607314812330776,0.023607314812330776,0
2023-02-24,sz300394,101801.50600472814,101801.50600472814,0,84905.342789598129,84905.342789598129,0.04500385232674322,0.04500385232674322,0
2023-02-27,sh688256,-31304.157999298724,-31304.157999298724,0,16893.771181488839,16893.771181488839,-0.013602641434584199,-0.013602641434584199,0
2023-02-27,sz300394,-46697.938534278881,-46697.938534278881,0,84905.342789598129,84905.342789598129,-0.02029172334327849,-0.02029172334327849,0
2023-02-28,sh688256,-13599.48580109863,-13599.48580109863,0,16893.771181488839,16893.771181488839,-0.0060288302201046513,-0.0060288302201046513,0
2023-02-28,sz300394,0,0,0,84905.342789598129,84905.342789598129,0,0,0
