date,symbol,actual_units,weight,economic_target,declared_units,stop,close,stop_broken,price_exit,ready,entry,score,cap,cash_fraction,reason
2023-01-03,bj920045,0,0,,0,0,0,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh600206,0,0,,0,0,12.628,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh601869,0,0,,0,0,32.241,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh603986,0,0,,0,0,101.48999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688008,0,0,,0,0,61.023000000000003,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688012,0,0,,0,0,66.277000000000001,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688019,0,0,,0,0,62.795000000000002,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688037,0,0,,0,0,74.247,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688041,0,0,,0,0,41.460999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688072,0,0,,0,0,101.15900000000001,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688082,0,0,,0,0,78.879000000000005,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688120,0,0,,0,0,49.613999999999997,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688205,0,0,,0,0,31.091999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688249,0,0,,0,0,0,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688256,0,0,,0,0,37.100999999999999,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
2023-01-03,sh688268,0,0,,0,0,76.394999999999996,False,False,False,False,,0,1,WARMUP_OR_NO_FRESH_QUOTES|ECONOMIC_CEILING_SEPARATE_FROM_DECLARATION
