date,sh603986,sh688008,sz300308,sz300394,sz300502
2023-01,0.030328903297049199,0,0,0,0.0043049836839424488
2023-02,0.0038540772294779657,0,0.011467023124723523,0.030762446586180867,-0.13544151794724335
2023-03,0,0,-0.1381522509653626,-0.14697419163729383,0.28311486547131987
2023-04,0,0,-0.11069476644907138,-0.073411009314169773,0.18324667546726311
2023-05,0,0,-0.041381818994536718,0.063872532571282614,0
2023-06,0,0,-0.03237431266111257,0.005033194409991306,-0.040530572397699076
2023-07,-0.006360223011848359,-0.013313389840287361,0.0087039088466194185,0.017726367415980639,0.023193312676684705
2023-08,-0.019632237496360047,0,0,0,0
2023-09,0,0,0,0,0
2023-10,0,0,0,-0.011545593746581997,0
2023-11,-0.010132548439058697,-0.0039970163714116696,-0.015437367657760432,0,-0.058903554927855664
2023-12,0,-0.021089571680605164,0.0011717378041431956,0.040915862372824283,-0.099254221844614784
2024-01,0,0,0.024428369798761927,0.02379484276684312,-0.02634811620976818
2024-02,0,0,-0.001273826177168938,-0.027137148210882697,-0.00023930253453356871
2024-03,0,0,-0.00042040182782448283,-0.0067608613958399077,0.0017628604080849636
2024-04,0,0,-0.0036750651600638675,0.012781142181789926,0.005809408611628113
2024-05,0,-0.0067881197670826452,0.0083744272182991811,0,0.0066724014728789631
2024-06,-0.028268992359609744,0,0.016605530221641223,0,-0.055610167363801991
2024-07,-0.033658740540661224,0,0.0060065372434031268,0,0.0011509166905947397
2024-08,0,0,0,0,0
2024-09,0,0,0.03127484684658071,0,-0.043401098583207467
2024-10,0.0081284285136027958,0,0.024725206378036508,0.0011352742762207333,0.0091769177580989236
2024-11,-0.030576443070587739,0,0.0024459732324336606,-0.016520207629096534,0.0063987905879565416
2024-12,0.0027763500214735256,0.0056350783504839188,0,0,0
2025-01,0.0024901313817617134,-0.0001038284960634434,0,0,0.040570678506431368
2025-02,-0.024958035435207714,0.0046738342409398436,0,0,0.07691343316023963
2025-03,-0.0013362272553724963,-0.000120342326166823,0,0,0
2025-04,0,0,0,0,0
2025-05,-0.035330299964041884,0,0,0,0.011358826288803234
2025-06,0.025437996392896921,-0.0084691609068747002,0,0,0.018351031424913056
2025-07,0.0033169504900515149,0,-0.034469065689636993,0,0.040255952886273969
2025-08,0,0,-0.067028921356728222,0,0.092316062292648965
2025-09,-0.0049490953580450152,0.050755318410508836,-0.0021075065012148087,0,-0.0036074116934873314
2025-10,0,0,-0.02474440633300478,0,0.048223067185778415
2025-11,0,0,-0.00013872932622965893,0,0.0053088361757645123
2025-12,0,0,-0.068413882753950286,0.0033637914747688823,-0.012931965420731058
