symbol,control,treatment,difference
sz300502,6844934.0433628289,6435894.335470601,-409039.70789222792
sh603986,-618222.32103360479,-641680.54677687713,-23458.225743272342
sh688008,206280.37278352724,195503.22784761823,-10777.144935909018
sz300394,-124248.77660424967,-116065.26306846421,8183.5135357854597
sz300308,3127348.9740029816,3173793.2084774892,46444.234474507626
