symbol,control,treatment,difference
sh603986,-618222.32103360479,-1128958.1389556313,-510735.8179220265
sh688008,206280.37278352724,-195182.45265595635,-401462.82543948363
sz300308,3127348.9740029816,2888064.6110891853,-239284.36291379621
sz300394,-124248.77660424967,300754.07160467212,425002.84820892179
sz300502,6844934.0433628289,7378962.5491152182,534028.50575238932
