symbol,control,treatment,difference
sh603986,-618222.32103360479,-908259.28078372276,-290036.95975011797
sz300394,-124248.77660424967,-201507.56724663623,-77258.790642386564
sh688008,206280.37278352724,255872.42842506157,49592.055641534331
sz300502,6844934.0433628289,7096821.7736496152,251887.73028678633
sz300308,3127348.9740029816,4237807.2882620459,1110458.3142590644
