candidate,scope,horizon,loss_barrier,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,20,0.080000000000000002,MEASURED,2023-01-03,2025-12-31,727,1.5305857649765109,0.53058576497651089,0.15285385981294519,0.46380551550636839,0.46380551550636839,0.65757663063274652,148,49.457456541628545,42.135618410384211,67817.863509070798,118545.03179972009,0.37977765212724074,12,0.96601247156326397,-1.6600345821667657
0,chatgpt_5,20,0.080000000000000002,MEASURED,2023-01-03,2025-12-31,727,2.7535206997616331,1.7535206997616331,0.40280843905174812,0.34504681960276373,0.34504681960276373,1.2976008996241533,68,22.72369624885636,31.697779404692522,94505.933133798608,163013.22886151075,0.20234108124974989,1,0.69245727619972597,-2.1972407071262241
0,joint_optical_leader_removal,20,0.080000000000000002,MEASURED,2023-01-03,2025-12-31,727,1.0966169723245087,0.096616972324508721,0.031300545099840482,0.43837225766533394,0.43837225766533394,0.25260796409548975,125,41.771500457456547,37.073068765051495,49068.424515651248,85786.762181876446,0.34294083460866603,0,0.62970464375724422,-1.3944257679651217
1,union,20,0.12,MEASURED,2023-01-03,2025-12-31,727,2.2380494330393605,1.2380494330393605,0.30893068904988419,0.49549819796878081,0.49549819796878081,0.91628183431680588,166,55.472552607502287,41.390792184546854,70210.610495587811,124446.48231038274,0.63023575455592451,9,0.58605828893554524,-1.3158801035176038
1,chatgpt_5,20,0.12,MEASURED,2023-01-03,2025-12-31,727,5.6309684098497907,4.6309684098497907,0.78165600274395319,0.35782810920384311,0.35782810920384311,1.6270088347669498,92,30.743824336688014,35.211865685249727,136396.94915079858,239693.19921879796,0.410564031318082,1,0.081897482105205421,-1.5074658415989233
1,joint_optical_leader_removal,20,0.12,MEASURED,2023-01-03,2025-12-31,727,1.0762068403309855,0.076206840330985459,0.024846131327256105,0.58849660767285017,0.58849660767285017,0.2456611414060248,142,47.452424519670636,36.848740157878943,45462.339280596992,79982.176896760822,0.59652085199105842,0,0.64849193079339518,-1.5371681656313381
2,union,60,0.080000000000000002,MEASURED,2023-01-03,2025-12-31,727,1.5897453286929113,0.5897453286929113,0.16755684226539858,0.29625053658031886,0.29625053658031886,0.785071893725523,86,28.738792314730102,30.239594319536089,52727.437396589405,91636.401072837936,0.20954162780101621,0,0.92808915385388591,-1.4550077018090537
2,chatgpt_5,60,0.080000000000000002,MEASURED,2023-01-03,2025-12-31,727,2.9822702210120484,1.9822702210120484,0.44072243517958332,0.24540029606845337,0.24540029606845337,1.4366952410936253,45,15.037740164684356,15.440717177270214,54046.322925417466,85844.069013959161,0.16377574371153295,0,0.61265279389806582,-2.0372539396761189
2,joint_optical_leader_removal,60,0.080000000000000002,MEASURED,2023-01-03,2025-12-31,727,0.90798933727363162,-0.092010662726368375,-0.031740515560579774,0.50744016703620298,0.50744016703620298,-0.041840052722381643,91,30.409652333028365,28.832805154285417,37506.913901148662,61981.094210960182,0.20194048866747846,0,0.81845724839040412,-1.6122556083775765
3,union,60,0.12,MEASURED,2023-01-03,2025-12-31,727,0.91733179359446326,-0.082668206405536737,-0.028422637424344366,0.52074007473663353,0.52074007473663353,0.0055580202675833907,104,34.753888380603847,33.9831821635211,43388.057419838537,75180.072890637835,0.27023953273665979,1,1.4779490337167802,-2.1852649274209313
3,chatgpt_5,60,0.12,MEASURED,2023-01-03,2025-12-31,727,4.2898304249877484,3.2898304249877484,0.6268360356376661,0.44219474991341212,0.44219474991341212,1.5264686022419613,69,23.057868252516013,27.387501926014018,90698.419733534291,148157.65234204411,0.30957359475517826,0,0.33698100911051454,-1.8274031419930519
3,joint_optical_leader_removal,60,0.12,MEASURED,2023-01-03,2025-12-31,727,0.83114171378847279,-0.16885828621152721,-0.059935483139484602,0.57288513896002002,0.57288513896002002,-0.1520737411375204,105,35.0880603842635,33.273700578682032,39527.657411449749,66407.593318051659,0.27417531117290928,2,0.90688956947437771,-1.7591284745068834
