date,symbol,signal,actual_units,target_units,stop,price,health,health_closes,entry,readmit,score,risk_cap,cash_fraction,occupied,cut,restoration_witness,held_symbols
2024-04-16,sz300394,2024-03-27,0,0,45.936899999999994,58.957000000000001,True,3,False,True,1.8111730953912959,0.5,1,0,False,True,
2024-04-17,sz300394,2024-03-27,0,0,45.936899999999994,60.844999999999999,True,4,True,True,1.8460200646535376,0.5,0.48762916692491132,1,False,True,sz300308
2024-04-18,sz300394,2024-03-27,0,0,45.936899999999994,59.606000000000002,True,5,True,True,1.8111858406102861,0.5,0.48942593060703454,1,False,True,sz300308
2024-06-05,sz300502,2024-05-24,0,0,37.7258,46.588999999999999,True,3,False,False,2.5225818239777169,0.5,1,0,False,True,
2024-06-17,sh688008,2024-05-24,0,0,44.996000000000002,52.859000000000002,True,3,False,False,0.57684193569373521,1,0.44244563752883509,1,False,True,sz300502
2025-09-15,sz300308,2025-09-04,0,0,346.92200000000003,406.62,True,4,True,True,2.8852787982006283,0.5,1,0,False,True,
2025-09-16,sz300308,2025-09-04,0,0,346.92200000000003,410.01999999999998,True,5,True,True,2.9731088573040445,0.5,0.73502905282518705,1,False,True,sh603986
2025-10-28,sh603986,2025-09-26,0,0,161.85900000000001,246.19999999999999,True,3,True,False,2.468770384252966,1,0.73785538114981841,1,False,True,sz300308
2025-10-28,sh688008,2025-09-26,0,0,111.67699999999998,148.97399999999999,True,3,False,False,2.5761238586764681,1,0.73785538114981841,1,False,True,sz300308
2025-10-29,sh603986,2025-09-26,0,0,161.85900000000001,240.40000000000001,True,4,True,False,2.2048834692848676,1,0.46509787872962288,1,False,True,sz300308
2025-10-29,sh688008,2025-09-26,0,0,111.67699999999998,152.91399999999999,True,4,True,False,2.5854969254529956,1,0.46509787872962288,1,False,True,sz300308
2025-10-30,sh603986,2025-09-26,0,0,161.85900000000001,231.25,True,5,True,False,1.8691533849284894,1,0.46797813837630836,1,False,True,sz300308
2025-10-30,sh688008,2025-09-26,0,0,111.67699999999998,151.614,True,5,True,False,2.5025325253461439,1,0.46797813837630836,1,False,True,sz300308
