date,symbol,signal,kind,price,stop,suspended_units
2023-03-07,sh688037,2023-03-07,RISK_ONLY_FULL_CUT,102.09099999999999,92.018299999999996,6171.7090194348057
2023-03-07,sh688256,2023-03-07,RISK_ONLY_FULL_CUT,57.972999999999999,49.195,11385.838909645365
2023-03-13,sh688037,2023-03-07,ACTUAL_REACQUIRED,109.152,92.018299999999996,6171.7090194348057
2023-03-13,sh688256,2023-03-07,ACTUAL_REACQUIRED,63.274999999999999,49.195,11385.838909645365
2023-06-21,sz300308,2023-06-21,RISK_ONLY_FULL_CUT,112.669,97.700249999999997,16610.785238484015
2023-07-05,sz300308,2023-06-21,TREND_INVALID,97.623999999999995,97.700249999999997,16610.785238484015
2024-03-25,sz300308,2024-03-25,RISK_ONLY_FULL_CUT,117.41800000000001,104.85899999999999,9936.769685375295
2024-03-25,sz300394,2024-03-25,RISK_ONLY_FULL_CUT,55.338000000000001,45.754799999999989,18887.51238850347
2024-04-22,sz300308,2024-03-25,TREND_INVALID,111.562,104.85899999999999,9936.769685375295
2024-04-25,sz300394,2024-03-25,TREND_INVALID,51.729999999999997,45.754799999999989,18887.51238850347
2024-06-24,sh688256,2024-06-24,RISK_ONLY_FULL_CUT,137.45599999999999,123.83075000000001,17014.650484396989
2024-06-24,sz300502,2024-06-24,RISK_ONLY_FULL_CUT,55.661000000000001,49.408500000000004,23859.676117801435
2024-07-12,sz300502,2024-06-24,ACTUAL_REACQUIRED,56.887999999999998,49.408500000000004,23859.676117801435
2024-07-23,sz002371,2024-07-23,RISK_ONLY_FULL_CUT,247.023,235.12905000000003,8555.8260022949326
2024-08-05,sz002371,2024-07-23,TREND_INVALID,237.56399999999999,235.12905000000003,8555.8260022949326
2024-09-03,sh688256,2024-06-24,TREND_INVALID,160.53700000000001,123.83075000000001,17014.650484396989
2024-12-31,sh688205,2024-12-31,RISK_ONLY_FULL_CUT,69.668999999999997,57.319399999999995,9573.0713977317027
2024-12-31,sh688256,2024-12-31,RISK_ONLY_FULL_CUT,440.60399999999998,379.53470000000004,6524.7329401148545
2025-01-16,sh688256,2024-12-31,ACTUAL_REACQUIRED,397.65100000000001,379.53470000000004,6524.7329401148545
2025-01-21,sh688205,2024-12-31,ACTUAL_REACQUIRED,71.531000000000006,57.319399999999995,9573.0713977317027
2025-01-27,sh603986,2025-01-27,RISK_ONLY_FULL_CUT,126.31,111.00000000000001,11998.027914248069
2025-01-27,sh688205,2025-01-27,RISK_ONLY_FULL_CUT,77.185000000000002,65.215350000000001,21948.920342423942
2025-02-11,sh688205,2025-01-27,ACTUAL_REACQUIRED,83.284999999999997,65.215350000000001,21948.920342423942
2025-03-11,sh603986,2025-01-27,TREND_INVALID,127.09,111.00000000000001,11998.027914248069
2025-09-04,sh601869,2025-09-04,RISK_ONLY_FULL_CUT,85.704999999999998,75.560299999999998,41047.386380101481
2025-09-04,sh688498,2025-09-04,RISK_ONLY_FULL_CUT,249.941,208.68940000000001,15003.621518671236
2025-10-14,sh601869,2025-09-04,TREND_INVALID,84.885000000000005,75.560299999999998,41047.386380101481
2025-10-14,sh688041,2025-10-14,RISK_ONLY_FULL_CUT,227.36000000000001,213.7415,13232.726639632961
2025-11-03,sh688041,2025-10-14,TREND_INVALID,225.93000000000001,213.7415,13232.726639632961
2025-11-06,sh688498,2025-09-04,ACTUAL_REACQUIRED,425.12299999999999,208.68940000000001,15003.621518671236
2025-11-21,sz300308,2025-11-21,RISK_ONLY_FULL_CUT,463.00999999999999,461.81999999999999,2204.0967579747121
2025-11-24,sz300308,2025-11-21,TREND_INVALID,455.80000000000001,461.81999999999999,2204.0967579747121
