date,symbol,stock_feature_exit,stop_only,mfe_r,weight,observed_return,cap_cut,matured_forward20_return
2023-03-15,sz300308,True,False,2.2331125827814633,0.28449300127776384,-0.0080283793876027021,True,1.0774515339732731
2023-03-15,sz300394,False,True,6.4400407300070421,0.47550276158499438,0.14525474525474524,True,0.66948709002093509
2023-04-27,sz300394,False,False,1.8129545070184334,0.17511296497308171,0.18433151093439348,True,0.40796306982111963
2023-04-27,sz300502,False,True,6.0787834371564688,0.58121553286485916,0.7606370143971688,True,0.221608040201005
2023-07-05,sz300308,False,True,4.6284293277715411,0.48942480791837584,0.5688366786121779,False,-0.037982463328689597
2023-07-12,sh688008,False,False,0,0.52050204041356551,-0.047845305696736951,True,-0.042599064559316946
2023-07-12,sz300394,True,False,2.8215424589583091,0.011879587482359667,0.20610567514677092,True,0.061591381100726927
2023-07-20,sz300308,True,False,0,0.14435625053951728,-0.1436486917976747,False,-0.061062005132366926
2023-08-04,sh603986,True,False,0,0.20852921945242586,-0.077372644801116608,False,-0.1168573319466768
2023-10-16,sz300394,True,False,0,0.25643854367506735,-0.049918951999735395,False,-0.024094707520891379
2023-11-20,sh603986,True,False,0.025939215771044171,0.20935998502812123,-0.062784090909090873,False,-0.074972213802162235
2023-11-23,sz300308,True,False,0.078119005935649827,0.29633951871110831,0.0082675131025320425,False,0.16885569953876556
2023-12-25,sh688008,True,False,0.7429829389102911,0.5428051933362843,-0.011373127432338759,False,-0.049251343626984023
2024-01-03,sz300502,True,False,0.70723012570772659,0.43944532794911467,-0.052758893940025864,False,-0.092550193730186692
2024-01-29,sz300308,True,False,0,0.10846248423357804,-0.10755989592966619,True,0.64864043329280419
2024-01-29,sz300394,True,False,0,0.51238478484182803,-0.15186371578334312,True,0.63725321888412023
2024-03-27,sz300394,False,False,0.68978982088183516,0.442991618403694,0.16247164543709647,True,0.038632568437247938
2024-03-27,sz300502,False,False,1.9542193372053298,0.01428234383565918,0.13024809160305328,True,0.25827654827232727
2024-04-22,sz300308,True,False,0,0.31554561166030953,-0.094736158783482183,False,0.099370753482368457
2024-04-25,sz300394,True,False,0.47898269162839741,0.37573111553615224,-0.053984857905709505,False,-0.1352600038662285
2024-05-15,sz300308,True,False,0,0.084730445849738781,-0.0913200024724935,False,0.035670252115131085
2024-05-24,sh688008,False,False,0,0.16269609913694202,-0.021197989219308377,True,0.1583235360848132
2024-05-24,sz300502,False,False,0.16078212290502789,0.54985606527948472,-0.023461556137690187,True,0.30976304209708916
2024-07-23,sh603986,True,False,0.48943642343497434,0.43702094591127094,-0.051021511187979707,False,-0.10992140334890088
2024-07-23,sz300502,True,False,2.5921029122744326,0.55571662683297396,0.12595948710053451,False,-0.022932374887682183
2024-10-11,sz300308,False,True,2.4330367540876718,0.37368458257600484,0.19772209567198185,False,-0.11049828832255615
2024-10-16,sz300502,False,True,2.3588982264521068,0.35272672751072159,0.19083766383484368,True,0.064816883368333356
2024-11-18,sh603986,False,True,1.3287600432269895,0.45096964714539933,0.017399594803956697,True,0.1194799109757525
2024-11-18,sz300394,False,True,1.0718340858091495,0.24592257111238663,-0.047158015679913401,True,-0.11038604082066927
2024-12-31,sh603986,False,False,1.2353550649557665,0.19765925537743631,-0.004238884702336132,True,0.32002648756030649
2024-12-31,sh688008,False,True,0.79383634431455852,0.54361664426500211,-0.064571133069644682,True,0.051248337790793075
2025-02-28,sh603986,False,False,0.48986562401689859,0.51763214023039683,-0.0020609113808104373,True,-0.1133547498852685
2025-02-28,sh688008,False,False,1.6556521739130459,0.21237230223283951,0.084028866387041212,True,-0.0029963913026486155
2025-05-23,sh603986,True,False,0.051378446115287767,0.39683787610379656,-0.081035453010692149,False,0.04207855830635987
2025-06-23,sh688008,True,False,0.7406643284505896,0.37991236202404555,-0.028726980781775158,False,0.076201792679461589
2025-07-02,sh603986,True,False,0.078030303030303103,0.34122021366157412,-0.036331484607346698,False,0.02794228042372171
2025-09-04,sz300308,False,False,16.865074697094464,0.079333340202064742,1.6638174574429554,True,0.056724859955403328
2025-09-04,sz300502,False,True,22.03166279721399,0.62257506773963334,2.9241011513738786,True,0.10961505575706298
2025-09-26,sh603986,False,False,0.31637947696287627,0.12667237003538231,0.005572952603364989,True,0.21054576163834038
2025-09-26,sh688008,False,False,0.76265643395979599,0.46499122774029783,0.11803317415588133,True,0.0017205469528207562
2025-11-04,sz300502,True,False,0.13319999999999937,0.035683890496751899,0.010863625612710148,False,0.048869238278886229
2025-11-21,sz300308,False,False,0.18206905950292168,0.51052148291714217,-0.060831643002028368,True,0.23258676918425092
2025-12-16,sz300394,False,True,0.04443759742254285,0.28248485875599749,-0.15918655239043589,False,
