date,symbol,stock_feature_exit,stop_only,mfe_r,weight,observed_return,cap_cut,matured_forward20_return
2023-02-17,sz002281,False,True,8.7653157398680541,0.48215840255661546,0.09843158464034607,False,0.099458394879369694
2023-03-07,sh688037,False,False,0.69745866493038511,0.30669480953380535,0.05327720862092078,True,0.060034674946861211
2023-03-07,sh688256,False,False,2.3878378505508158,0.44658764421136932,0.17843276755767867,True,1.4775498939161333
2023-03-22,sh688037,True,False,0.02391654216813421,0.10857444686765255,-0.11793645558487253,False,0.50452331245650672
2023-05-10,sh688256,False,True,10.220682874508405,0.21129325020416417,1.0956775977874362,False,0.11195740701637935
2023-05-11,sh688041,True,False,1.1528679074853212,0.022572497195506008,0.019610229777795807,False,0.017243437545595652
2023-05-22,sh688498,True,False,0,0.059198513772299566,-0.071463929343719923,False,1.122268986157875
2023-06-06,sz002409,True,False,0.17786561264822109,0.4114245963891911,-0.064621502627467686,False,0.10370482842392947
2023-06-20,sh688037,True,False,0.48251139104797813,0.42147875301340976,-0.024511561910404822,True,-0.19483384217004207
2023-06-20,sh688072,False,False,0.50774656757778003,0.049337696222248796,0.0029600051385261228,True,-0.23263794382448222
2023-09-18,sh688082,True,False,0.048699218249391558,0.46682611651854994,-0.06885447153748292,False,0.15744571084636605
2023-09-18,sh688361,True,False,0.15615660490137503,0.13729476408279281,-0.10672881558503655,False,0.051110516457051114
2023-10-13,sh688205,True,False,1.2331942512749199,0.20783077712927403,-0.017486703979060492,False,-0.0034575598696330312
2023-11-16,sh688019,True,False,0.6326630701324174,0.52143198219607934,-0.01500919059390271,False,-0.0041054812679371944
2023-11-21,sh688012,False,True,0.29274629151286025,0.47723230354786905,-0.025408675737329411,False,-0.054020298087686935
2023-11-24,sh688535,False,True,0.3901230459180367,0.22427270908404676,-0.099396228422480526,True,-0.093074424099232056
2023-12-14,sh688300,False,True,0,0.25640749361529386,-0.074584431961481124,False,-0.14942272434468062
2023-12-25,sh688008,True,False,0.52857142857143313,0.54160884035736656,-0.036374343962724875,True,-0.049251343626984023
2023-12-26,sh688041,False,True,1.3090079817559848,0.16150966483337104,0.0037025960894887522,False,0.026957619784055309
2024-03-21,sh688041,False,True,0.30461937308508041,0.38777182476513639,-0.043858050564323237,False,-0.074586091663384035
2024-03-25,sh688012,False,False,0,0.24859882142044223,0,True,-0.13609450475871643
2024-03-25,sz002371,False,False,1.6096103623088793,0.50150607437968986,0.20658755649182514,True,-0.037588908670261767
2024-05-10,sz002371,True,False,0,0.31626089931443374,-0.078246898378132146,False,0.069270149465410658
2024-05-24,sz002409,True,False,0,0.1678848271211999,-0.12380344607530314,False,0.14493809176984707
2024-05-29,sz300054,True,False,0.095586168119200482,0.30719971090994419,-0.041556145004420952,False,0.044280442804428111
2024-06-24,sh688008,False,False,1.1678100263852251,0.46183698875434392,0.085554674965689248,True,0.12108477715059029
2024-06-24,sh688300,False,False,0.84282982791587069,0.53513144193457329,0.020231291421825226,True,0.042895089814059872
2024-07-18,sz002281,True,False,0,0.17430437071411253,-0.054395604395604313,False,-0.14526438117373619
2024-07-23,sh688008,True,False,0.16957544250526022,0.54666696406992121,-0.077525562698400052,True,-0.064673433744315223
2024-07-23,sz002371,False,False,0,0.44216774616977994,-0.050780439443893655,True,-0.06635819336660953
2024-10-10,sh688019,False,True,2.8764115432873303,0.29225980693827641,0.16776834833041931,False,0.1361672083652874
2024-11-15,sh688041,False,True,4.8867427568042148,0.53993084479061348,0.41794563555514053,False,0.015721329151953567
2024-11-27,sh600206,False,True,9.1454272863568509,0.33988134160841782,0.062977493289283482,False,-0.22678710178710171
2024-12-09,sh688120,True,False,0,0.03456592252980896,-0.065782335358005373,False,-0.14251392004372421
2024-12-19,sh688249,True,False,0.091772151898735027,0.16396154981390093,-0.083951360915559214,False,-0.052192495787613535
2024-12-31,sh688205,False,False,0.42280471999619962,0.1151275460325812,0.040192902040999012,True,0.10908725545077447
2024-12-31,sh688256,False,False,2.5879077430599473,0.49616888577590529,0.76194379906185139,True,-0.14319888153534688
2025-01-16,sh688256,True,False,0,0.1202184458101455,0,False,0.25014397046656489
2025-02-24,sh688205,True,False,1.1756870679480684,0.31233926143107177,0.014832729865372984,False,-0.32117864227463078
2025-03-11,sh603986,True,False,0.78162133614998719,0.27255878224981461,-0.00015734403272749109,False,-0.18270516956487526
2025-03-21,sh688256,True,False,0.0070877029408696396,0.23575325127188923,-0.13856351516289545,False,0.014556694379171509
2025-04-03,sh688409,True,False,0.12937433722163297,0.21341067888187251,-0.07500292980194545,False,-0.095925865595192783
2025-04-07,sh688019,True,False,0.8085758039816231,0.27048929628987672,-0.062155435844123086,True,0.23280707647519883
2025-05-09,sz002371,True,False,0,0.29687691935406513,-0.058250654859871576,False,-0.025162380118704419
2025-05-15,sh688268,True,False,0.018187329493785834,0.14868467904787644,-0.099144345238095233,False,-0.053479248399752155
2025-05-23,sh600206,False,True,0.10346611484738712,0.370442900421879,-0.060501296456352716,False,0.046573137074517046
2025-06-20,sh688205,True,False,2.7277750491159138,0.30252990741232899,0.24199187375980347,False,-0.070754716981132004
2025-09-04,sh601869,False,False,13.943418163028035,0.30961120457272567,1.2723175226025401,True,0.061023277521731645
2025-09-04,sh688498,False,False,13.679198893026911,0.43398645279268561,1.6450462463225177,True,0.061446501374324169
2025-10-14,sh603986,False,False,1.0802693983140303,0.24740105861660197,0.036303805530492061,True,0.10750320102432775
2025-10-14,sh688041,False,False,0.34745944060932238,0.33172833838212767,-0.07486979166666663,True,-0.027269528501055684
2025-11-14,sh688347,False,True,0,0.080331160564482237,-0.20192857142857135,False,-0.053790387541394424
2025-11-19,sz300223,True,False,0,0.20520619692921513,-0.035540301151461451,False,0.070141200780622137
2025-11-21,sh688498,True,False,0.98418635656617937,0.12093469795484101,0.059284942388790673,True,0.14527395324423642
