scope,date,symbol,cash_fraction,cap,healthy_closes,entry_closes,actionable,higher_than_new_request,actual_new_requests,matured_forward20_return
union,2023-04-06,sh688037,0.09425501652776401,1,4,1,False,False,,-0.078299082947917098
union,2023-04-07,sh688037,0.088102459644783512,1,5,2,False,False,,-0.078699722746815692
union,2023-06-02,sh688256,0.53452254413892808,1,6,1,False,False,,-0.11571125961582607
union,2023-06-05,sh688256,0.52378143991880399,1,7,2,False,False,,-0.12901524376347084
union,2023-08-31,sh688072,1,0.5,3,1,True,False,,-0.037569147051227381
union,2023-09-01,sh688072,1,0.5,4,2,True,True,"sh688082,sh688361",-0.05413310346877509
union,2023-10-11,sh688082,0.35694427425242736,1,4,1,False,False,,-0.0019732157411140872
union,2023-10-12,sh688082,0.33714425148654087,1,5,2,False,False,,-0.055910073061433918
union,2023-10-12,sh688361,0.33714425148654087,1,6,1,False,False,,0.019579405366207503
union,2023-10-13,sh688361,0.34111581616864878,1,7,2,False,False,,0.054659608519020075
union,2023-11-30,sh688012,0.24404308157899457,1,4,1,False,False,,-0.059308057958744609
union,2023-12-01,sh688012,0.24254559163856684,1,5,2,False,False,,-0.091746453900709235
union,2023-12-06,sz300308,0.23833921455378398,1,4,1,False,False,,0.03401312036508819
union,2023-12-07,sz300308,0.24282050073960396,1,5,2,False,False,,-0.042846738398537809
union,2024-01-24,sz300394,1,0.25,5,1,True,True,sz300502,0.43005351750530685
union,2024-01-25,sz300394,0.92240227750622772,0.25,6,2,True,True,sz300308,0.40221316249271966
union,2024-02-07,sz300308,1,0,3,2,False,False,,0.36964713158407103
union,2024-02-19,sh688041,0.87644513671412283,0.5,4,1,True,False,,-0.032872802143166235
union,2024-02-19,sz300308,0.87644513671412283,0.5,5,1,True,False,,0.18477815063385528
union,2024-02-19,sz300502,0.87644513671412283,0.5,4,1,True,False,,0.2116665132406641
union,2024-02-20,sh688041,0.776059862467259,0.5,5,2,True,False,,-0.021252946708846809
union,2024-02-20,sz300308,0.776059862467259,0.5,6,2,True,False,,0.091492334113417728
union,2024-02-20,sz300502,0.776059862467259,0.5,5,2,True,False,,0.23049485861182517
union,2024-03-04,sh688012,0.49905126597712579,1,10,1,False,False,,0.018568093071937408
union,2024-03-04,sh688535,0.49905126597712579,1,9,1,False,False,,-0.14259160456430831
union,2024-03-05,sh688012,0.50155961622195377,1,11,2,False,False,,-0.00013033104084370084
union,2024-03-05,sh688535,0.50155961622195377,1,10,2,False,False,,-0.15759317311041443
union,2024-04-12,sz300308,1,0,5,1,False,False,,-0.015396336358460827
union,2024-04-15,sz300308,1,0,6,2,False,False,,0.0060134151849187134
union,2024-04-17,sz300394,1,0,4,1,False,False,,-0.16231407675240361
union,2024-04-18,sz300394,1,0,5,2,False,False,,-0.16073885179344372
union,2024-04-30,sh688019,0.69326249004300067,0.5,4,1,False,False,,-0.05034589294109737
union,2024-05-06,sh688019,0.6958825895167231,1,5,2,False,False,,-0.023830293417922199
union,2024-05-23,sz300308,0.41782811751766358,1,4,1,False,False,,0.1504468071228231
