symbol,support_pnl,main_pnl,difference
sh603986,-551024.47262975434,-107997.41902633972,-443027.05360341462
sh688008,261208.70357229438,-69217.044583663082,330425.74815595744
sz300308,823546.86520502553,3323380.3889290299,-2499833.5237240046
sz300394,165258.72730847914,257713.95618934842,-92455.228880869283
sz300502,6152505.1905406136,5602606.8743642205,549898.31617639307
