candidate,scope,use_cushion,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,False,MEASURED,2023-01-03,2025-12-31,727,2.703085510460884,1.703085510460884,0.3941690890462104,0.25720750124558178,0.25720750124558178,1.2924805229108609,345,115.28934126258007,27.699041339040114,50235.70713473604,92418.508779674157,0.38500857155245605,178,0.97142857142857153,-1.0680064537892098
0,chatgpt_5,False,MEASURED,2023-01-03,2025-12-31,727,4.1883287694031761,3.1883287694031761,0.61387022355420573,0.27818111392244982,0.27818111392244982,1.6901614775993632,298,99.583257090576396,22.924419187854923,53577.306853352296,96667.473383416407,0.34633359835598532,136,1.5042016806722689,-1.8813891042098074
0,joint_optical_leader_removal,False,MEASURED,2023-01-03,2025-12-31,727,2.3785420352747053,1.3785420352747053,0.33583415791816984,0.28366487761687076,0.28366487761687076,1.1464947806558179,346,115.62351326623971,31.257153503975175,49335.610622479035,91422.114500520664,0.39917279971419223,190,0.93296089385474867,-0.65184150988637324
1,union,True,MEASURED,2023-01-03,2025-12-31,727,1.4636933763982343,0.46369337639823427,0.13576581779423846,0.19062005741413102,0.19062005741413102,0.88368025612779655,201,67.168572735590118,9.9236042819256607,17548.929615363624,28178.845489212177,0.12122034351962875,79,1.0107000353718762,-1.5352552847941234
1,chatgpt_5,True,MEASURED,2023-01-03,2025-12-31,727,2.5158677323919858,1.5158677323919858,0.36112699279890981,0.18374762077736229,0.18374762077736229,1.4811888211810502,194,64.829368709972556,12.019545990818024,27220.580233731776,43752.514969820848,0.15212251981302807,62,0.78271985664514709,-2.250740233374827
1,joint_optical_leader_removal,True,MEASURED,2023-01-03,2025-12-31,727,1.2794128836965768,0.2794128836965768,0.085825375069688237,0.19174138424297371,0.19174138424297371,0.65172630950617738,198,66.166056724611167,10.99644923691022,17294.164445628106,28418.786710394343,0.12827227093469451,90,0.47553331675838467,-1.1040703984338009
