candidate,scope,require_stable_support,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,False,MEASURED,2023-01-03,2025-12-31,727,4.2311864966720991,3.2311864966720991,0.61937010629431311,0.29645106836512558,0.29645106836512558,1.5732214338828439,149,49.791628545288198,34.412397465373878,82844.507344922502,153890.51847010918,0.42898144662821713,4,0,-0.5183551564850456
0,chatgpt_5,False,MEASURED,2023-01-03,2025-12-31,727,5.718046146255741,4.718046146255741,0.79081600215346248,0.31551634999859968,0.31551634999859968,1.7926521650849137,118,39.432296431838978,29.634058109818682,82764.190850817002,150386.73916674603,0.38971442205346496,3,0,-1.4777632383827963
0,joint_optical_leader_removal,False,MEASURED,2023-01-03,2025-12-31,727,2.35820512290061,1.35820512290061,0.33200646464849082,0.33029997565392888,0.33029997565392888,1.0330065757088278,161,53.801692589204031,39.250112257289395,62244.708014601732,113755.24849531098,0.43698732389095907,5,0,-0.57176111327714219
1,union,True,MEASURED,2023-01-03,2025-12-31,727,3.1829804735661322,2.1829804735661322,0.47242450533079228,0.3015903845613942,0.3015903845613942,1.3286796947548936,153,51.128316559926809,34.212452848207583,65247.70119936212,120342.08069104933,0.40783797691379409,8,0.23384497294346182,-0.80954745537482942
1,chatgpt_5,True,MEASURED,2023-01-03,2025-12-31,727,5.2015164656056996,4.2015164656056996,0.73504438632765656,0.31521742393582108,0.31521742393582108,1.707388733650532,104,34.753888380603847,27.694672100041274,70905.394261850306,130055.97347931405,0.38144143383370482,2,0.056387412436740815,-1.5628591808765273
1,joint_optical_leader_removal,True,MEASURED,2023-01-03,2025-12-31,727,2.2887593325595881,1.2887593325595881,0.3187676809673905,0.37224739823116049,0.37224739823116049,1.0091643128431285,161,53.801692589204031,38.93432221391636,58031.701275647159,105325.39232611023,0.41714700811536815,5,0,-0.63311257416808286
