candidate,scope,remember_risk,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts,deficit,objective
0,union,False,MEASURED,2023-01-03,2025-12-31,727,4.3300390313568204,3.3300390313568204,0.63191578728663167,0.30530781326067513,0.30530781326067513,1.3702184591115245,149,49.791628545288198,39.030144514743093,83517.366268762984,152599.13605109401,0.5128228264029463,25,0,-0.50190360840656489
0,chatgpt_5,False,MEASURED,2023-01-03,2025-12-31,727,7.6731228006974552,6.6731228006974552,0.97575421043589117,0.39268808935735189,0.39268808935735189,1.7280407599604268,171,57.143412625800551,35.714957098829387,127672.36542989012,231699.03902184434,0.50063414128401651,51,0.43697478991596639,-1.2769677621775402
0,joint_optical_leader_removal,False,MEASURED,2023-01-03,2025-12-31,727,1.1208562115766103,0.12085621157661031,0.038862788477796562,0.35331033491094144,0.35331033491094144,0.28848005312361119,169,56.475068618481245,47.420219500132433,52764.622491507151,93935.374555417453,0.46681100701170508,45,0.60784173698280297,-1.3381735554469354
1,union,True,MEASURED,2023-01-03,2025-12-31,727,3.6239851237915621,2.6239851237915621,0.53767460441385473,0.30505280486374875,0.30505280486374875,1.2428187771410266,156,52.130832570905767,41.520645149852243,82259.521077501748,149342.85215290985,0.45670822206469947,31,0.10408870336567157,-0.68439303304576304
1,chatgpt_5,True,MEASURED,2023-01-03,2025-12-31,727,5.0375867533367682,4.0375867533367682,0.71657630203294942,0.39434493351080724,0.39434493351080724,1.5333743826812063,167,55.80672461116194,32.340535923696571,97185.637025528398,175466.0298508523,0.46099107266704559,71,0.40336134453781503,-1.6963335479616097
1,joint_optical_leader_removal,True,MEASURED,2023-01-03,2025-12-31,727,0.7484125157529633,-0.2515874842470367,-0.092301830353059611,0.43139674011629081,0.43139674011629081,-0.13896479085855348,131,43.776532479414456,37.895998096886387,39498.067610777296,67766.260592153645,0.43324989813136328,24,1.0117355662248402,-1.7752351163148508
