family,scope,mode,window,status,start,end,sessions,wealth,total_return,cagr,max_drawdown,inherited_drawdown,sharpe_zero_rf,orders,orders_per_year,gross_turnover,fees,slippage,average_exposure,blocked_attempts
leadership,union,weights,full,MEASURED,2023-01-03,2026-09-11,896,5.372611502411921,4.372611502411921,0.57759571212846628,0.5737080512096171,0.5737080512096171,1.1225807215344672,323,87.584075723830736,82.884665382633401,262333.38839394035,492403.51042361668,0.88076737745839984,0
leadership,union,weights,through_2025,MEASURED,2023-01-03,2025-12-31,727,5.2781879692270977,4.2781879692270977,0.74354921533311291,0.5737080512096171,0.5737080512096171,1.3145315541938887,234,78.19624885635865,61.938951432150624,122235.43181649066,217770.0015246362,0.8782002459380791,0
leadership,union,weights,bull,MEASURED,2023-01-03,2026-06-30,843,9.6386259003879733,8.6386259003879733,0.91475254915717441,0.5737080512096171,0.5737080512096171,1.4974993112455177,278,79.701334379905802,71.762029348528472,190372.52354818335,348330.62028299546,0.88791368638109014,0
leadership,union,weights,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.61405986511787236,-0.38594013488212764,-0.9214920286377557,0.46104128726679916,0.46104128726679916,-3.5346351578274997,42,219.15000000000001,10.702041465958585,72576.957543189579,142265.78850062165,0.76349061233946391,0
leadership,union,weights,july_august,MEASURED,2026-07-01,2026-08-31,44,0.58104464957454738,-0.41895535042545262,-0.96126031348537122,0.44953355620447266,0.46104128726679916,-4.6548459187011462,40,239.50819672131149,10.377280551777064,67906.967967429577,136114.91450062155,0.73682068837022785,0
leadership,union,weights,retrospective_2026,MEASURED,2026-01-05,2026-09-11,169,1.0178893843370738,0.017889384337073766,0.026350593456248905,0.47458236300500101,0.47458236300500101,0.33579042033647327,89,130.5512048192771,20.945713950482773,140097.95657744969,274633.50889898045,0.89181060003397961,0
leadership,union,units,full,MEASURED,2023-01-03,2026-09-11,896,5.4867249744785429,4.4867249744785429,0.58661217249202258,0.59607954211694625,0.59607954211694625,1.1349558829792188,322,87.312917594654792,83.009700689839008,259796.26353139529,487204.3998222861,0.86551781434887531,2
leadership,union,units,through_2025,MEASURED,2023-01-03,2025-12-31,727,5.4008479549045134,4.4008479549045134,0.75698590636923968,0.59607954211694625,0.59607954211694625,1.3361429287592255,235,78.530420860018296,61.834969353541105,117816.76840940741,208872.51628046413,0.86196726575948324,1
leadership,union,units,bull,MEASURED,2023-01-03,2026-06-30,843,10.001065323921289,9.0010653239212886,0.93512360725520605,0.59607954211694625,0.59607954211694625,1.5233146020580424,279,79.988029827315543,71.394434009306437,182319.42923341677,332765.24088650045,0.87337994186811485,1
leadership,union,units,late_june_through_august,MEASURED,2026-06-22,2026-08-31,51,0.62467413689026441,-0.37532586310973559,-0.91414822316909394,0.45488403830552016,0.45488403830552016,-3.2673786659553423,40,208.71428571428572,10.441334782095959,73579.150953990131,144203.96379578643,0.7512644012183719,1
leadership,union,units,july_august,MEASURED,2026-07-01,2026-08-31,44,0.58199273242208116,-0.41800726757791884,-0.9608802809877659,0.44701301515346148,0.45488403830552016,-4.4586743326856011,38,227.53278688524591,10.169681260576189,69559.015393710128,138909.01679578633,0.72187688421462037,1
